Creditability,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,TSC_6EFA
1,-0.504396452,1.534542804,-0.730382524,1.938454264,-1.608468081,0.482336331,3
1,0.300531479,1.342238655,-0.343385572,-1.030018694,-2.106229946,0.152971736,3
1,-0.735650828,1.244071623,1.455148286,1.439588041,0.260600102,0.063316708,3
1,0.295944497,0.754755063,-0.279490318,-0.489984899,1.483735486,-0.307984962,3
1,-1.605656112,1.688177307,-0.53092991,0.097324311,-1.204951656,0.605401214,3
1,-1.162783162,0.308875136,1.43128515,0.96546118,-0.466621029,0.07343022,3
1,-0.687253122,1.518131671,-0.660851813,0.529470587,-0.103563123,0.462450913,3
1,0.731060777,1.474276669,-0.603323412,0.708265179,0.160645782,0.566021482,3
1,-0.620834893,1.38658735,-0.688612871,-0.301834733,-0.523776384,0.42532011,3
1,-0.369714777,1.156144593,1.253744737,-0.684589692,-1.142585078,-0.452978431,3
1,-0.751727719,1.875231909,1.459629865,-0.061383044,-1.328826385,1.024613826,3
1,0.227369595,1.579393404,1.419541527,-0.049451307,1.094526682,0.978323517,3
1,-0.835818291,1.538942604,-0.767013134,-0.495437966,1.013391722,0.861562017,3
1,-0.297941249,1.37481636,-0.543302964,0.120011944,0.903417091,0.590022683,3
1,-1.301396646,1.820015749,1.37912917,-0.169186873,-0.564661258,0.627453195,3
1,1.289968172,1.249120482,1.2438415,1.328454572,-0.742954284,-0.162470845,3
1,-1.67092442,0.425658028,-0.844203657,0.992452019,-0.468957272,0.541067137,3
1,-1.021184962,1.175471089,-1.085964337,1.091519724,0.095134775,0.145817616,3
1,0.697175232,1.254731384,-0.441225129,-0.896978617,-0.399513616,0.1241363,3
1,-0.837702964,1.128851937,-0.168151396,0.214668324,-0.863083743,-0.363650266,3
1,0.440244027,1.760781325,-0.923125362,1.740340342,-1.679241148,0.555357022,3
1,-1.72461548,1.366539578,-0.23114473,0.299317928,-1.225516191,0.166580879,3
1,0.091532209,1.636870858,-0.753140717,1.007563741,-0.269700385,0.540617383,3
1,-0.552601275,1.416401268,0.820509196,1.504614954,0.589936726,0.134710273,3
1,-0.505401564,1.686839756,-0.69996806,0.464386765,-0.524307148,0.823627825,3
1,-1.583019102,1.631864736,-0.917226386,0.448811582,-1.254262911,0.261838459,3
1,-0.559745171,0.661688531,0.888817709,-0.340762834,-0.971815635,0.954738332,3
1,0.684095514,1.454345014,-0.422477039,-0.220250596,-0.619639647,0.426303347,3
0,-1.668138337,1.223347091,-0.437267081,-0.086413726,0.223307566,0.227676815,3
1,0.909898182,1.275288785,-0.602745325,-1.158026337,0.727242332,0.770486771,3
1,0.038588521,0.433874254,-0.792254779,-0.444930896,0.018064849,0.853719995,3
1,-0.853293789,1.254932745,-0.547246216,0.716803183,0.718602661,0.656542808,3
1,-1.760571851,0.554344372,0.768578131,0.338141143,-2.663505569,0.457016449,3
1,-0.573906195,1.095813527,1.522323214,1.805735735,1.199354017,0.102724428,3
1,0.381484327,1.590513284,1.163281823,1.718893942,0.180031505,0.301337487,3
1,0.384858083,1.546994319,1.643069852,0.209068303,-0.542362749,0.484335838,3
1,-0.201169645,1.704048405,1.533086367,0.269283346,-0.678116441,0.556364892,3
1,-0.200258369,1.483636734,-1.000045253,1.839573706,1.110129977,0.518742724,3
1,-0.659475386,1.15833504,1.602755092,0.854467285,1.491423231,0.081384659,3
1,0.342967826,1.25664519,-0.711200345,1.627741375,1.061103804,0.206900996,3
0,-0.47011861,1.294915862,1.504651073,-1.086508966,-0.162137836,0.492013228,3
1,0.581281636,1.343064267,-0.54203484,0.095081442,1.030142347,0.677800261,3
1,0.638467667,1.130887627,0.587402611,2.6429857,-1.10166852,0.026661488,3
1,-0.21405385,1.439515262,-0.836535317,-1.346908415,0.910463638,0.588940424,3
1,-0.917873472,0.615344177,1.064454339,1.689509131,-0.862209864,0.490644576,3
1,-0.855681529,1.24104914,-0.443933026,0.315592833,0.752844295,0.709134401,3
1,-0.530159372,1.115065792,-0.480133026,0.837813394,0.47217025,-0.383185629,3
1,0.049290689,1.250514579,-0.482352695,-0.884367942,-0.04802272,0.089518904,3
1,-0.354326067,0.361029586,-0.727466314,-1.288821461,-1.190047705,0.553182226,3
1,1.305596366,1.217205208,0.375961356,1.106584448,-0.384068102,0.111599215,3
1,-1.158694329,1.213276741,-0.643792479,-1.148794494,0.981236705,0.515919733,3
1,0.44455319,1.59756351,-0.638710957,-1.176839197,-1.183676394,0.459835275,3
1,0.203205011,1.166838346,-0.311056635,-0.68674163,-1.104029107,-0.349894594,3
0,-0.891152185,1.176666683,-0.568885776,-0.557389408,1.279884853,0.374689254,3
1,0.146591846,1.074848345,-0.697499139,1.078859435,-0.520340565,-0.083497428,3
1,-1.440075496,1.155644492,0.739676875,0.175456967,-0.15806476,0.149693004,3
1,-1.11293671,1.168951696,-0.611484583,-0.385180012,1.381593106,0.537276209,3
1,0.726277965,1.308489783,-0.530827176,-0.781393087,0.373684104,0.564008736,3
1,-1.297602775,1.686708166,-0.930581023,-0.563968983,-1.201384246,0.220169741,3
1,0.391537183,1.384713924,-0.467882554,0.094117264,0.356777031,0.746091093,3
1,0.989651397,0.308010104,-0.789958322,1.961734892,-1.069851885,0.44746868,3
1,-0.582767043,1.370882786,-0.365890035,0.653096377,-0.740020846,0.506258503,3
1,-1.680121472,1.484100192,2.508293842,0.104422472,0.316626633,0.076222748,3
1,-0.636832049,1.189789104,1.262162993,0.629328446,1.309641227,-0.093207431,3
1,0.416574215,0.967334507,-0.646240267,2.45579482,1.788649045,-0.061748365,3
0,0.242809508,1.279033587,1.620475594,-0.253561213,0.486311388,0.334249963,3
1,-0.986467052,1.297409229,-0.728803199,1.235654173,-1.678686879,-0.122908356,3
1,1.814949301,1.315814429,0.614149918,0.470682887,0.755492525,1.10521806,3
1,0.028811706,1.385394721,0.391300197,0.695626756,0.96717547,0.796693106,3
1,-1.11630205,1.55979559,-0.114665413,0.188203182,0.397768749,1.087215881,3
1,-0.193294445,0.406632826,2.444931389,-1.307289484,-0.635621327,-0.06247636,3
1,0.131088641,1.690486101,0.292600422,-0.082988049,0.566481633,1.364714489,3
1,-0.558725184,1.557866969,-1.105359194,1.700808522,1.175073333,0.509965163,3
1,-1.780553564,0.72756749,-0.376910186,0.606451164,0.908562016,-0.471025586,3
1,1.388960306,1.782600451,1.35065414,-1.029889164,-0.921583715,0.609398639,3
1,-0.014305892,0.479673775,-0.994008642,1.660164622,-0.820130016,0.520452795,3
1,0.853415055,0.354352809,-0.82107154,0.892463023,-1.856175693,0.695761452,3
1,0.423730251,1.758392199,-0.627488791,0.502586824,-1.2980385,0.685925644,3
1,-0.592384648,1.694831254,-0.995002539,0.706873861,-2.400169889,0.418361268,3
1,-0.405134044,0.921454492,-0.569544767,2.120863921,0.758545056,0.144019651,3
1,0.964549722,1.254217142,-0.372443823,1.619422474,-0.915410792,-0.080236487,3
1,-0.522188375,0.453039845,0.322777654,-0.378670971,0.678183832,0.195765299,3
1,0.253606045,1.061986342,-0.174282593,-0.420962299,-0.576990782,-0.109116595,3
1,-0.248245655,0.936562625,-0.138392024,-0.063254579,-0.467212736,0.054836683,3
1,-0.562172816,1.324991101,0.301983175,1.767805649,0.362385525,0.634596442,3
1,-1.150564386,1.47690583,1.563755862,0.170194913,0.387710334,0.708871637,3
1,0.817146817,0.599178497,1.34326863,-0.198399899,0.052322583,1.177399804,3
1,-1.238832233,0.325417018,-0.536816508,0.229392317,-0.203767634,0.788107333,3
1,-1.439450086,1.459203816,0.714869964,0.311590635,-1.099079396,0.420770954,3
1,-0.605052506,0.36799146,-0.672065287,-0.114543178,0.718272925,1.021046006,3
1,0.357615825,0.326645286,1.357561061,0.453392598,0.446894768,0.764997622,3
1,-0.248668501,0.415875875,1.396430717,-0.123906844,0.47076575,1.020801905,3
1,-0.884842297,0.271651192,1.58928831,0.395444411,-0.284562425,0.671484161,3
1,-1.210052444,1.066218637,1.392185459,2.253679226,1.238125533,0.042721597,3
1,-0.27834982,0.707305647,0.082941794,0.916947666,-0.956112808,1.073306125,3
1,-0.070222364,1.333062307,-0.228789735,0.48131396,-0.607515532,0.030955039,3
1,0.732421528,0.586979203,-0.774692371,-1.045542395,-0.97098607,0.951493149,3
1,0.42014343,1.53158178,-0.77112981,1.594945748,-0.452213957,0.402558495,3
0,0.980092818,1.471423201,0.477369846,1.853125986,-1.673135892,-0.279143424,3
0,1.137407302,1.870186109,1.482184452,-0.180946825,-1.328789116,1.034383023,3
0,1.481233534,1.358381364,-0.438069436,0.262155959,0.935970257,0.818749885,3
0,1.837307458,1.634610755,0.490704871,-0.295810258,0.220531728,0.79570753,3
1,-1.180724912,1.30984873,-0.419416044,0.365730234,0.48694557,0.623648443,3
1,-0.792410332,1.649139479,-1.1077946,1.522191321,0.654569197,0.865540644,3
1,1.311054302,1.621326114,1.710055645,0.161198399,-0.965998346,-0.671499101,3
1,-0.506835932,1.126467362,-0.330501303,-0.228592697,-0.503780085,0.328730768,3
1,0.116917253,1.776160747,1.436657571,0.009607719,-0.300452353,0.731023764,3
1,-0.841277129,1.07757479,-0.220383661,0.153775026,-0.282200697,-0.309076084,3
1,0.332198655,1.280463824,-0.604264809,-1.182707061,0.596408541,-0.848199838,3
1,0.40956104,1.227024728,-0.59870586,-0.441322386,1.310880814,0.340108433,3
1,-0.571919983,1.140669662,0.943680119,0.895504341,-1.097208649,0.554280328,3
0,-0.221790744,1.488496956,-0.798356865,-0.920836525,0.883756814,0.681834411,3
1,-0.539330596,1.467113272,1.3700896,-0.951707059,0.977430658,0.579997139,3
1,0.682490418,1.295954896,-0.93506697,0.978025615,0.87705686,0.088606118,3
1,-1.162666837,0.378194136,-1.20627451,0.270388305,0.835613278,0.831292645,3
1,-0.347564169,1.115522,0.5631128,1.545217422,0.628343673,0.291842937,3
1,-1.219738161,0.364591221,0.427227877,-0.049391574,0.310085969,0.555969239,3
1,-0.960145795,1.016870268,-0.669475824,2.263716223,1.329290976,-0.043867921,3
1,-0.769973733,1.498030795,-1.066535312,0.302959656,0.463746734,0.759550421,3
1,1.019645929,1.55216994,1.186446788,0.151157527,-0.599273002,0.30577934,3
1,1.363242549,1.502470085,-0.524540648,-0.035865027,-1.62861368,-0.45037836,3
1,1.234398414,1.664450384,-0.826891732,1.682157468,-1.133307472,0.876944845,3
1,0.038365693,0.446448406,1.236445951,1.626765978,-1.236589657,0.570978313,3
0,1.613110291,1.554014876,-0.805449495,-0.532059458,0.241729054,1.123006264,3
1,0.560531557,0.882660547,-0.327327167,0.753286667,1.554722793,-0.292533975,3
1,0.166658291,1.506531459,0.813209242,-0.35126489,0.287268822,0.366322584,3
1,-1.152231636,1.222465337,1.565473694,0.652979455,1.034366019,-0.10531391,3
0,1.444246667,1.716693633,1.24998323,-0.430515302,-1.572679986,0.361819225,3
0,1.840218657,1.147798019,-0.880533457,0.774953347,0.730852254,0.244234254,3
0,0.368570683,0.47142527,-0.756275848,-0.972855138,-1.616535809,0.586507136,3
0,-0.815562695,1.556513062,-1.004292042,-1.121787156,0.865851353,0.73956152,3
1,-0.126303657,1.208314606,-0.638428999,-0.988522441,0.575112331,0.626290467,3
1,-0.010471641,1.316010642,-0.51827861,-0.614245444,0.034023023,0.919140734,3
0,1.213665544,1.615283765,1.241750856,-1.62718629,-0.059962203,0.326280993,3
0,-0.150252679,1.575040921,-0.027365184,-1.473651494,-0.866481571,-0.653006339,3
1,-0.16666176,0.983229425,-0.770752756,0.684785928,0.957708731,0.082977046,3
1,-0.527844208,0.594970757,1.145654766,-1.466512498,-0.173820309,0.758208492,3
1,-0.916325553,0.981447862,1.612413489,-0.814876171,1.447142747,-0.026960315,3
1,-0.547649412,1.212716841,-0.474884415,-0.850918808,-0.170158735,0.20355868,3
1,-0.293813398,1.02190805,-0.444848479,-0.982783044,0.861462323,0.15519203,3
1,-0.554797743,1.110162546,-0.579348944,-0.972705402,0.991607356,0.312707044,3
1,0.77200192,1.205210671,-0.498010567,-1.057276099,0.443019155,0.311789929,3
1,-0.144693504,1.510602879,1.238538248,-1.380311982,0.782791621,0.67923556,3
1,0.837742947,1.447828202,1.579295519,-0.848655349,-1.292907966,0.348284044,3
1,1.007801415,0.420640072,-0.480720245,-0.660255785,-1.274426938,0.139051464,3
1,1.763311875,1.042900007,1.822368708,-0.526232328,0.041752934,-0.084754331,3
1,0.197680874,1.127779786,-0.516446917,1.378299052,-1.834967836,-0.47993044,3
1,-1.222353678,1.051518504,-0.264843687,-0.23681556,0.032550097,0.105686582,3
1,-1.143415678,0.465297544,0.60338934,-1.139955704,0.855205841,0.888322884,3
1,-1.206833771,1.039415559,0.646968434,-0.576492748,1.127286746,-0.07187733,3
1,-0.559150347,1.169401007,-0.214789668,-0.329826231,-1.345013972,0.229315027,3
1,-1.345713383,0.320762623,-0.862595241,-0.982681387,0.611486778,0.689695403,3
1,-0.668198842,1.559212066,-0.639272075,-0.838406006,-0.763503269,0.391059421,3
1,-1.344708615,1.144827497,-0.514265516,-0.596745484,0.794390861,0.193062627,3
1,-1.727046396,0.809794023,-0.291371988,-0.209258466,1.070683743,-0.204621767,3
1,-0.647988999,0.286192525,1.378320259,0.339661847,0.340172263,0.259596012,3
0,-0.459970773,1.163585635,-0.684106001,-0.665138723,1.067634654,-0.184208125,3
1,0.827173274,1.497653643,-0.468202456,0.776712931,-1.089013337,0.781555487,3
1,-1.381339038,0.468009253,-0.902264634,-1.083919844,0.059040513,0.63004928,3
1,-0.446419969,1.396396414,1.374150649,0.256083387,-1.649768774,-0.102758956,3
1,0.222127909,1.002446878,1.36657988,0.54350957,1.728461906,0.00937471,3
1,0.806742015,1.662679474,0.533084656,0.407460904,-1.552047208,0.063257065,3
1,0.695987395,0.875015547,0.488854888,0.49322745,0.803847656,-0.600109227,3
0,1.278242845,0.907351088,-0.647239381,-0.556646479,-0.495115307,-0.421192815,3
1,0.879024471,0.900236193,-0.158120241,0.788904103,1.247273283,-0.116136617,3
1,-1.427529657,1.044757182,1.391632312,2.217524591,1.106423293,-0.378101439,3
0,-0.508995715,1.322009663,-0.977739224,0.869508125,0.466072449,0.433064743,3
0,1.338705854,0.497748614,-0.813562027,-0.468242953,-0.994857052,0.695688866,3
1,0.372740741,0.509186103,-0.712556419,-0.772582762,-1.153500993,0.655383263,3
1,0.446947259,1.699213751,-0.69631977,-1.352254957,-1.350388777,0.576214347,3
1,-1.349651751,1.153156102,-0.313764532,0.52582982,0.048328805,0.235103507,3
0,0.705721427,0.486200932,-1.202807616,0.321926883,-0.719384235,0.410402702,3
1,0.575903965,1.566218747,-0.76624923,1.932296688,-1.359078605,-0.991200283,3
1,-0.568290695,0.586874197,-0.656446519,0.102254257,-1.014066335,0.924299237,3
1,-0.497081134,0.779699766,0.842066266,-0.196382794,1.81606047,-0.280523861,3
0,1.021651272,1.36433094,-0.691798853,0.105960814,-0.395517366,0.313712131,3
0,0.97243011,0.455896512,1.261831441,-1.184242187,0.323261298,0.750519608,3
0,-0.216247509,1.432661134,-1.206482267,0.399226281,1.21868723,0.234988819,3
0,0.683070416,1.293089021,-0.617601474,-1.228303437,0.874017838,0.322457576,3
0,-0.991372715,1.345355193,-0.390313123,-0.879864618,-0.883895582,-0.427442633,3
0,-0.624991293,1.574612828,-0.552497777,-0.391495655,-1.263837003,0.632610581,3
0,-0.941697941,1.017691245,-0.485976045,-0.97017237,1.212953218,0.120574635,3
0,0.301288766,0.512764346,0.347070206,-0.405882435,-0.446691279,0.986360112,3
0,0.09328721,1.209175464,-0.965777142,0.58540286,0.78162767,0.109751907,3
0,0.317621805,1.157164644,-0.977644737,0.729897595,1.580609552,-0.273029733,3
0,-0.123709178,1.40476096,-1.123593577,0.406780736,0.549911157,0.505097006,3
0,-0.562334226,1.253940353,-0.968726256,1.024085424,1.106411741,0.168028499,3
0,-0.597195991,0.375213026,-1.389527278,0.225361637,1.145363646,0.450316273,3
0,-0.181810515,1.484457711,-0.816545474,-1.394314887,0.99379222,0.683185279,3
0,0.05793739,1.377598574,-0.607947118,-0.533640624,0.270375836,-0.357873195,3
0,-0.336603361,0.91819861,-1.017055354,-0.663972544,1.973404518,-0.372421403,3
0,-0.473343748,1.576082614,-0.666826554,-0.071894186,0.476551413,1.106818796,3
0,-0.116761256,1.412519143,-0.591573283,-1.042151606,-0.753366143,0.633521175,3
0,-0.474385741,1.411085006,-0.068161298,0.29011497,0.793873282,1.060028387,3
0,-0.891047802,0.973015992,-0.204842806,0.945871734,-0.090273702,-0.797657175,3
0,-1.104574407,1.423529327,-0.674469945,-0.675118235,0.467285294,0.715460171,3
0,-0.207447961,1.779465991,0.398741219,-0.164796743,-0.398452367,0.471761747,3
0,-0.107017737,1.490955036,0.358168101,-1.355057962,0.038965205,0.374176922,3
0,-0.127600753,1.272132703,-0.127238712,-1.219831302,0.604076687,0.201642052,3
0,0.842653388,1.48745689,-0.498854983,-0.65205696,-1.168070438,0.764738177,3
0,0.933387996,0.934648297,-1.282297184,-0.449710475,0.804318795,-0.319650904,3
0,0.092343239,1.477544428,-0.31029504,0.334286192,-1.627843276,0.605869087,3
0,1.600125328,1.677083064,0.49415311,-0.779780744,-1.171846344,0.487332951,3
0,-0.56608461,1.387429136,-0.56697544,1.229717564,-0.318762475,0.377057456,3
0,-1.119327702,1.280935828,-0.6997084,1.061020439,1.026285698,0.034471006,3
0,1.220941131,1.041196141,-0.439595681,-0.036227417,0.896513956,-0.118052423,3
0,1.126883291,1.504906779,-0.667755076,-1.324520472,-0.568550362,0.725052048,3
0,-0.828095945,0.574502561,-0.769531674,-0.915222718,-1.286007659,0.972635729,3
0,-0.546834126,1.557296547,-0.773839884,-0.870699124,0.617858089,0.596348452,3
0,1.776759948,0.462668357,-0.557255803,-0.769199008,-1.344792094,0.835563286,3
0,-0.403450455,1.563255098,-0.726687904,-0.943504334,0.254500111,0.300682049,3
0,0.809236476,1.698298825,1.468655243,-0.129127755,-0.194591358,-0.049260244,3
0,-0.795993061,1.746532446,-0.699918386,-0.197172544,0.043940306,1.137711909,3
0,1.292550224,0.651866026,1.039152794,-0.149840255,-1.77168291,0.61752908,3
0,1.798592045,0.577544255,1.211610495,-1.322829981,0.131909423,1.200888097,3
0,1.798592045,0.577544255,1.211610495,-1.322829981,0.131909423,1.200888097,3
0,1.34148561,1.207671042,-0.452329828,-0.970482588,-0.170121466,0.213327877,3
0,-0.816770339,1.492256363,-0.791137773,-1.286688449,0.485922324,0.62119986,3
0,-0.56710003,0.452476083,-1.386099508,-0.454872572,-0.119430633,0.527319957,3
0,0.395227323,1.386308787,0.4965045,-0.264220399,-0.490984942,-0.125979201,3
0,0.414747863,1.237768841,-0.58241791,-1.184098407,0.436897503,0.46740913,3
0,2.205146278,1.63995056,1.310937104,-1.338733092,0.106556791,0.76148302,3
0,0.137074757,1.221710351,-0.561537347,-1.174015842,0.278254914,0.585154525,3
0,-0.824513216,0.477109594,-1.177407888,0.804141147,-0.675378767,0.700464465,3
0,-0.281687053,1.368783209,-0.729750135,-1.367741953,1.095302925,0.400513634,3
0,0.583258119,1.533023185,-0.114211077,-0.846055169,0.251821503,1.080241606,3
0,1.41214957,1.258409171,-0.418704549,-0.643814883,0.064821436,0.439301313,3
0,0.494987888,1.551665574,-0.502445627,0.128437627,-0.325616719,0.974188557,3
0,0.098711078,1.293255286,-1.406028654,-1.000407216,-1.237039264,-0.071954504,3
0,-0.42236661,1.49454439,1.25941881,-1.370229418,0.624149031,0.796980955,3
0,0.512230333,1.251793102,-0.611604435,-1.035255581,0.502099181,0.633701704,3
0,-0.537917136,1.457941759,-0.702177257,-1.060461956,0.230394251,0.332501211,3
0,-0.155670351,1.468761626,-0.700379626,-1.140243929,0.375306257,0.171843838,3
0,0.44236024,1.370144626,0.321783525,-1.260700629,1.103845812,0.076881242,3
0,-0.441804639,1.481318733,-0.567056302,-0.992014204,-1.019264868,0.548035216,3
0,-1.389521176,1.165949816,0.196658665,2.246710496,1.100378812,0.186210541,3
0,-1.183033495,0.357506449,2.1709715,0.245944379,0.916669717,0.381310368,3
0,-0.310934719,0.907755006,-0.143682057,0.057200254,0.451604302,-0.237405719,3
0,0.919923762,1.760958018,1.435926927,0.359524651,-1.328020606,0.444589322,3
0,-0.499863889,1.495740514,2.552306801,-1.506831218,-0.29135616,-0.608546551,3
0,0.852587923,1.195584851,-0.499988023,-0.47041158,0.024644645,-0.653520933,3
0,0.689641214,0.543904903,-0.964530671,-0.691941336,-0.229195494,0.832024723,3
0,-0.297398843,1.395834392,-0.719906929,-1.388792601,-0.085163838,0.559676588,3
0,-0.820344504,1.440979215,-0.843370038,-1.347581747,1.06680537,0.675774042,3
0,-0.157755047,1.359331166,-0.833490546,1.41377051,-0.96934862,0.107265449,3
0,0.08811115,0.634039546,-0.763587672,-0.972038423,-1.20037822,0.862301571,3
0,-0.039003666,0.297499381,-0.158466968,0.086007555,0.907689843,0.882350037,3
0,1.839965488,1.422055577,0.58464873,-0.435090059,-0.519572301,0.926660794,3
0,-0.707832225,1.595088451,-0.673814108,-1.224423059,-0.844052581,0.09493408,3
0,-0.026282533,1.410501482,-0.592767961,-0.736494218,-0.367398736,0.363871927,3
0,-1.332183584,1.299146286,-0.667661595,-1.373648894,0.487672919,0.332926783,3
0,1.718266124,0.822270306,-0.227089277,-0.026411712,1.276047438,0.032064826,3
