"","df.Movies","df.Horror","df.Thriller","df.Comedy","df.Romantic","df.Sci.fi","df.War","df.Fantasy.Fairy.tales","df.Animated","df.Documentary","df.Western","df.Action","cluster","Pc1","Pc2","kclust","hclust"
"57",-5,-4,-5,-5,-1,-5,-5,-5,-5,-5,-1,-5,3,-2.63714946837145,1.40356414065106,"3","2"
"58",-5,-2,-1,-5,-5,-1,-3,-5,-5,-2,-1,-2,1,3.19889145771719,1.22256455963533,"1","1"
"59",-5,-5,-5,-5,-3,-5,-5,-4,-4,-3,-2,-5,3,-2.59179497679516,0.87879327240902,"3","2"
"60",-4,-3,-4,-5,-3,-5,-5,-5,-5,-4,-3,-3,3,-1.21298081949807,1.22756756582726,"3","2"
"61",-5,-3,-3,-5,-5,-1,-2,-4,-1,-2,-1,-3,1,1.9109882935346,-0.854931553083036,"1","1"
"62",-5,-1,-2,-5,-4,-4,-2,-5,-5,-2,-1,-3,1,1.95969734921391,1.34601841399435,"1","1"
"63",-5,-1,-1,-5,-5,-1,-1,-3,-5,-1,-1,-1,1,4.23562112537708,0.0125538845066223,"1","1"
"64",-5,-1,-3,-5,-3,-3,-3,-2,-3,-2,-1,-1,2,1.54317689497344,-1.45696299877324,"2","3"
"65",-4,-2,-3,-5,-3,-1,-3,-3,-4,-3,-1,-5,1,0.870926703196056,-0.736134577277566,"1","1"
"66",-5,-4,-5,-5,-5,-3,-3,-5,-5,-4,-2,-5,3,-0.713772679185196,2.19033056601673,"3","2"
"67",-5,-4,-4,-5,-4,-3,-5,-5,-5,-3,-3,-5,3,-1.36475684333488,1.81998066997763,"3","2"
"68",-5,-1,-1,-5,-1,-4,-5,-3,-1,-4,-5,-5,2,-2.03745483610669,-1.62630368535813,"2","3"
"69",-4,-2,-3,-5,-2,-1,-4,-1,-2,-4,-4,-4,2,-0.806797098680733,-2.66902480222416,"2","3"
"70",-5,-1,-2,-5,-3,-1,-1,-5,-5,-5,-2,-4,1,1.78815783384297,1.20593602480027,"1","1"
"71",-5,-3,-3,-5,-4,-2,-3,-5,-5,-5,-3,-3,1,0.399920232896418,1.68928522624628,"1","1"
"72",-5,-4,-4,-5,-4,-5,-5,-5,-5,-5,-3,-4,3,-1.93269512205468,2.21233946523845,"3","2"
"73",-5,-5,-4,-5,-4,-3,-4,-5,-5,-4,-2,-3,3,-0.46585470754503,1.75417543654162,"3","2"
"74",-5,-4,-3,-5,-3,-5,-3,-5,-4,-4,-3,-5,3,-1.48030481310353,1.3748360203276,"3","2"
"75",-5,-1,-2,-3,-2,-4,-3,-5,-5,-5,-3,-4,1,-0.251847743104137,0.446286716390322,"1","1"
"76",-5,-3,-5,-5,-5,-1,-1,-5,-5,-5,-1,-5,1,0.828268776443609,1.98534586078323,"1","1"
"77",-5,-5,-5,-4,-1,-5,-5,-3,-5,-5,-5,-5,3,-4.3720226485602,0.211722348946679,"3","2"
"78",-5,-3,-3,-5,-4,-3,-5,-5,-5,-3,-3,-3,3,-0.169252546719185,1.58537979612418,"3","2"
"79",-5,-2,-4,-4,-1,-4,-4,-3,-4,-4,-3,-5,3,-2.11125800245221,-0.695775446005195,"3","3"
"80",-5,-1,-5,-5,-4,-1,-5,-3,-2,-4,-2,-3,2,-0.114881899973525,-0.816990340409275,"2","3"
"81",-5,-5,-5,-5,-2,-2,-1,-3,-3,-4,-1,-5,2,-0.79844357020734,-0.635658889108056,"2","3"
"82",-5,-1,-4,-4,-3,-2,-3,-3,-3,-3,-3,-3,2,0.182788027992781,-1.1421465767755,"2","3"
"83",-4,-2,-2,-5,-4,-2,-2,-5,-5,-3,-1,-5,1,1.75144722575821,0.98722861704643,"1","1"
"84",-5,-1,-3,-3,-4,-3,-2,-4,-4,-5,-3,-3,1,0.597915718013367,-0.0782516254754213,"1","1"
"85",-4,-4,-3,-3,-1,-4,-3,-3,-4,-3,-3,-1,2,-0.211753625257332,-2.04697562394386,"2","3"
"86",-5,-5,-5,-5,-1,-4,-2,-2,-3,-3,-1,-5,2,-1.87421262955557,-1.26878283920242,"2","3"
"87",-5,-3,-3,-5,-3,-5,-5,-4,-4,-3,-1,-5,3,-1.21282353849258,0.707830449628479,"3","2"
"88",-2,-1,-1,-5,-1,-5,-5,-5,-5,-1,-1,-2,1,1.64021180866223,-0.96176317590429,"1","3"
"89",-5,-2,-3,-5,-3,-5,-5,-3,-5,-5,-3,-5,3,-2.00183122193901,0.980528019401117,"3","2"
"90",-3,-3,-3,-2,-2,-5,-5,-1,-3,-5,-3,-5,2,-2.40375215593016,-3.34254830865714,"2","3"
"91",-3,-2,-1,-5,-4,-2,-1,-4,-3,-5,-1,-3,1,2.69282976230904,-0.796379177759204,"1","1"
"92",-5,-2,-2,-5,-5,-3,-2,-5,-5,-3,-2,-3,1,1.7932672944661,1.71280998683867,"1","1"
"93",-4,-1,-4,-5,-3,-4,-5,-4,-5,-5,-4,-5,3,-1.75788476240715,0.915148362244093,"3","2"
"94",-5,-4,-5,-5,-4,-5,-4,-5,-5,-5,-2,-5,3,-1.97630734195843,2.27503330624525,"3","2"
"95",-4,-4,-4,-4,-2,-3,-5,-4,-4,-5,-3,-4,3,-1.77353504072912,-0.39433434339246,"3","2"
"96",-4,-1,-2,-4,-3,-1,-4,-4,-5,-5,-3,-3,1,1.00925166331446,-0.158285122343175,"1","1"
"97",-5,-2,-3,-5,-5,-5,-5,-5,-5,-4,-3,-4,3,-0.802856093505564,2.27158682431978,"3","2"
"98",-5,-3,-5,-5,-4,-3,-2,-4,-4,-3,-1,-5,3,-0.156323047538828,0.782270177332806,"3","2"
"99",-5,-1,-4,-4,-2,-5,-5,-3,-3,-4,-3,-5,3,-2.32970801438526,-0.759285698734863,"3","3"
"100",-4,-1,-2,-5,-3,-4,-5,-4,-3,-4,-5,-4,3,-1.07135822649332,-0.21307889685844,"3","3"
"101",-4,-1,-2,-4,-4,-2,-2,-5,-4,-4,-2,-4,1,1.73986633414637,0.146455731396024,"1","1"
"102",-5,-1,-3,-4,-4,-3,-1,-4,-4,-4,-1,-2,1,2.02483015413223,0.06200693401605,"1","1"
"103",-5,-1,-4,-4,-3,-2,-2,-5,-5,-3,-2,-4,1,0.855523816899633,0.709307736740423,"1","1"
"104",-4,-1,-2,-5,-5,-3,-3,-5,-5,-3,-1,-2,1,2.592497617058,1.11581811721294,"1","1"
"105",-4,-1,-2,-4,-5,-2,-2,-4,-2,-4,-1,-4,1,2.01071352853531,-0.964213272979563,"1","1"
"106",-5,-3,-2,-3,-2,-2,-3,-2,-2,-3,-3,-2,2,0.290630163958381,-2.86778871952234,"2","3"
"107",-3,-2,-3,-4,-3,-1,-2,-3,-3,-2,-1,-2,1,2.47624951159739,-2.47847721372536,"1","3"
"108",-3,-1,-3,-5,-4,-2,-5,-4,-4,-5,-3,-5,3,-0.143841292338243,-0.00301818984512395,"3","2"
"109",-4,-4,-4,-4,-3,-3,-4,-3,-4,-1,-3,-4,2,-0.747494815024579,-1.09679206902243,"2","2"
"110",-4,-4,-4,-3,-2,-2,-2,-4,-4,-5,-2,-5,2,-0.627899230591639,-0.956172999813361,"2","3"
"111",-3,-1,-4,-4,-2,-1,-1,-2,-4,-5,-1,-4,2,1.24062027581766,-2.25520067574179,"2","1"
"112",-5,-2,-3,-5,-4,-4,-3,-4,-4,-3,-2,-2,1,0.791927831069921,0.597746977507167,"1","1"
"113",-3,-1,-2,-4,-4,-1,-1,-5,-5,-3,-1,-4,1,3.10761458786617,-0.162058710555295,"1","1"
"114",-5,-2,-4,-4,-3,-4,-4,-3,-3,-4,-2,-4,2,-1.08749712767,-0.695762419691306,"2","3"
"115",-5,-1,-4,-3,-5,-5,-5,-2,-5,-2,-1,-1,1,0.592245433865917,-0.594389794655186,"1","3"
"116",-5,-1,-1,-4,-5,-2,-2,-5,-5,-5,-2,-2,1,2.61368579592433,1.25698028005799,"1","1"
"117",-5,-3,-5,-2,-1,-4,-3,-3,-3,-3,-4,-5,2,-2.60394102741872,-2.06529801938002,"2","3"
"118",-5,-4,-4,-5,-5,-5,-4,-2,-5,-4,-1,-3,3,-0.68987743683876,0.791863518913793,"3","2"
"119",-5,-1,-1,-2,-2,-1,-4,-5,-4,-5,-1,-4,1,1.1807725764544,-0.873407892586044,"1","1"
"120",-5,-5,-3,-5,-5,-5,-3,-5,-5,-5,-3,-4,3,-1.00395897650004,2.45992848337899,"3","2"
"121",-4,-3,-5,-5,-2,-4,-5,-3,-3,-5,-2,-4,3,-2.04147252282753,-0.78607929451236,"3","2"
"122",-5,-4,-4,-5,-4,-3,-5,-2,-2,-4,-3,-4,2,-1.78490521248244,-0.872768234685219,"2","3"
"123",-5,-1,-2,-5,-5,-1,-3,-5,-4,-4,-3,-2,1,2.08406636715131,1.1071537769807,"1","1"
"124",-5,-3,-3,-5,-5,-2,-1,-3,-4,-1,-2,-3,1,1.83701911368794,0.020061584321579,"1","1"
"125",-3,-3,-1,-5,-5,-1,-1,-5,-5,-5,-1,-1,1,3.92201146165619,0.594263540683316,"1","1"
"126",-4,-2,-4,-4,-4,-1,-2,-2,-2,-4,-1,-1,2,1.95328485428441,-2.44626246333143,"2","3"
"127",-5,-2,-3,-3,-3,-4,-3,-4,-2,-4,-2,-4,2,-0.423856674451132,-1.16798691769593,"2","3"
"128",-4,-4,-4,-5,-5,-4,-3,-3,-3,-4,-3,-4,3,-0.815755167156311,-0.0588040509139523,"3","2"
"129",-3,-2,-2,-4,-2,-5,-5,-4,-4,-4,-2,-2,3,0.0862351508339745,-1.09282977337759,"3","3"
"130",-5,-2,-4,-4,-3,-4,-2,-2,-2,-3,-1,-4,2,-0.220342431075177,-1.80513251370328,"2","3"
"131",-5,-4,-4,-5,-2,-2,-2,-3,-3,-2,-1,-4,2,0.0856429231266116,-1.01994267558364,"2","3"
"132",-5,-5,-3,-5,-3,-2,-5,-2,-3,-5,-2,-4,2,-1.39024025153206,-0.73889084369002,"2","3"
"133",-3,-2,-4,-5,-4,-3,-3,-3,-5,-4,-2,-4,1,0.363737872924936,-0.128435733864592,"1","1"
"134",-4,-4,-4,-5,-3,-2,-5,-1,-1,-5,-3,-4,2,-1.83210116429547,-2.51422788228351,"2","3"
"135",-4,-5,-4,-3,-3,-4,-2,-3,-4,-3,-1,-2,2,0.292326475150347,-1.42328278362745,"2","3"
"136",-5,-4,-4,-4,-4,-3,-3,-3,-2,-3,-2,-4,2,-0.608376276120745,-1.0474166937266,"2","3"
"137",-5,-5,-5,-3,-2,-4,-5,-3,-3,-3,-4,-4,3,-3.05072850527361,-1.32343051912811,"3","3"
"138",-5,-4,-4,-5,-5,-4,-1,-5,-5,-2,-1,-4,1,0.870600224201928,1.86152980106112,"1","1"
"139",-5,-5,-4,-5,-3,-5,-5,-4,-4,-4,-1,-3,3,-1.45648428608373,0.763773787897053,"3","2"
"140",-5,-2,-5,-5,-3,-5,-2,-4,-4,-3,-1,-5,3,-0.750134582128533,0.691990060160651,"3","2"
"141",-4,-2,-2,-5,-5,-3,-5,-2,-1,-5,-3,-2,2,0.186162413629642,-1.66863136960454,"2","3"
"142",-4,-5,-5,-3,-3,-5,-3,-2,-2,-4,-1,-3,2,-1.37154181360539,-2.40565663825339,"2","3"
"143",-5,-1,-1,-5,-5,-2,-5,-3,-2,-4,-1,-3,1,1.41548962136306,-0.594916669154307,"1","3"
"144",-4,-4,-4,-5,-3,-3,-2,-3,-4,-3,-1,-4,2,0.170895253534369,-0.51312550155297,"2","2"
"145",-5,-5,-5,-5,-3,-3,-3,-4,-4,-4,-3,-4,3,-1.55345457228331,0.698597592734416,"3","2"
"146",-5,-3,-2,-2,-1,-2,-4,-3,-5,-3,-2,-3,2,0.0622526331366593,-1.73144365353675,"2","3"
"147",-3,-1,-2,-5,-2,-3,-5,-4,-5,-4,-1,-3,1,0.946330256290899,-0.416885952015483,"1","1"
"148",-5,-5,-5,-5,-3,-3,-4,-3,-4,-3,-2,-4,3,-1.51188029426702,0.085106464639029,"3","2"
"149",-3,-3,-3,-4,-2,-5,-4,-3,-4,-5,-3,-3,3,-1.08046169050179,-1.26263273658734,"3","3"
"150",-5,-4,-3,-5,-4,-5,-3,-3,-4,-5,-3,-4,3,-1.34368696969101,0.765856847874768,"3","2"
"151",-5,-1,-5,-5,-5,-5,-5,-5,-1,-5,-3,-5,3,-1.99142425861423,0.73882156997907,"3","3"
"152",-4,-2,-4,-5,-5,-1,-1,-4,-5,-2,-1,-2,1,2.94233323780923,0.363969544437095,"1","1"
"153",-5,-3,-4,-5,-5,-4,-3,-4,-4,-5,-3,-4,3,-0.80671630685628,1.40500358470393,"3","2"
"154",-3,-3,-3,-3,-2,-2,-2,-5,-5,-4,-3,-3,1,0.855230310685155,-0.825962677007296,"1","1"
"155",-4,-4,-4,-4,-2,-4,-5,-4,-5,-5,-2,-4,3,-1.68620196257879,0.124648964360671,"3","2"
"156",-4,-5,-5,-5,-1,-5,-1,-1,-1,-4,-1,-3,2,-1.38663077001379,-3.03112202015927,"2","3"
"157",-4,-2,-3,-4,-2,-2,-3,-3,-3,-3,-3,-3,2,0.309447728539379,-1.88653133052997,"2","3"
"158",-5,-1,-4,-5,-4,-3,-1,-5,-5,-4,-2,-4,1,0.946792589941186,1.6573890452036,"1","1"
"159",-5,-3,-3,-5,-2,-3,-1,-3,-3,-3,-2,-1,2,1.14926590434192,-1.0792918314384,"2","3"
"160",-5,-1,-2,-5,-5,-3,-3,-5,-5,-3,-2,-3,1,1.70826957496165,1.69756415972468,"1","1"
"161",-4,-1,-2,-5,-5,-2,-2,-4,-1,-5,-2,-2,1,2.15378800731635,-0.969680657466095,"1","1"
"162",-4,-2,-4,-4,-1,-2,-2,-2,-2,-2,-1,-3,2,0.64376871518314,-3.26651323105824,"2","3"
"163",-2,-2,-2,-2,-2,-2,-5,-5,-5,-5,-3,-3,1,0.562232381503203,-1.61831729300677,"1","1"
"164",-5,-5,-5,-4,-4,-4,-5,-3,-3,-4,-5,-4,3,-3.05241627115662,-0.149274790082403,"3","2"
"165",-4,-3,-5,-4,-4,-3,-3,-4,-4,-4,-2,-2,1,0.293196961709605,-0.192115079982492,"1","1"
"166",-4,-1,-2,-4,-5,-1,-1,-5,-5,-4,-1,-1,1,3.92346924301318,0.453826968756353,"1","1"
"167",-5,-3,-3,-5,-4,-3,-2,-5,-5,-4,-1,-2,1,1.51769553644879,1.49878844748013,"1","1"
"168",-5,-3,-4,-5,-5,-4,-3,-3,-4,-5,-1,-4,3,-0.315083741888419,0.861582313697153,"3","2"
"169",-5,-3,-5,-4,-2,-4,-4,-3,-3,-2,-2,-3,2,-1.19855989580336,-1.2479293190035,"2","2"
"170",-4,-5,-5,-5,-4,-3,-3,-3,-2,-3,-2,-4,2,-0.881548284326428,-0.99689327870694,"2","3"
"171",-5,-1,-2,-5,-5,-4,-3,-5,-5,-4,-3,-3,1,0.948027985624136,1.97407561539685,"1","1"
"172",-3,-5,-3,-3,-2,-3,-5,-5,-5,-3,-2,-3,3,-0.284387967690544,-0.760775185535033,"3","2"
"173",-4,-1,-4,-5,-2,-3,-3,-3,-3,-4,-2,-4,2,-0.250225589451423,-1.15731362316249,"2","3"
"174",-5,-4,-4,-5,-5,-5,-5,-4,-4,-5,-4,-3,3,-1.8856278921451,1.53856121494658,"3","2"
"175",-5,-5,-3,-5,-2,-5,-5,-4,-4,-2,-3,-5,3,-2.32612325415851,0.440209247269072,"3","3"
"176",-5,-3,-3,-5,-5,-3,-3,-5,-5,-2,-2,-4,1,0.789344894754942,1.75494550300974,"1","1"
"177",-5,-1,-2,-4,-2,-5,-1,-4,-5,-4,-2,-3,1,0.74074427795467,0.253568513809432,"1","1"
"178",-5,-1,-1,-4,-4,-3,-3,-5,-4,-5,-2,-1,1,2.06392947418457,0.574832886791806,"1","1"
"179",-5,-5,-4,-4,-1,-4,-4,-2,-2,-4,-4,-5,2,-3.32480884573258,-1.91621564790896,"2","3"
"180",-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1,-4,3,-1.62021170551416,2.48559380546231,"3","2"
"181",-3,-3,-4,-4,-2,-3,-5,-5,-3,-4,-1,-3,3,-0.144421093261776,-1.14979537440616,"3","3"
"182",-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-3.19456603766763,2.72279515252532,"3","2"
"183",-5,-2,-5,-5,-5,-3,-3,-5,-1,-3,-2,-5,2,-0.399223270353722,0.22218024866903,"2","3"
"184",-5,-5,-5,-5,-3,-5,-5,-5,-5,-5,-3,-5,3,-3.02217129635739,2.07936898642991,"3","2"
"185",-5,-1,-3,-5,-4,-3,-3,-5,-5,-4,-2,-5,1,0.342213784249953,1.74181321148454,"1","1"
"186",-5,-1,-3,-5,-2,-3,-2,-4,-4,-5,-3,-4,1,-0.145687451320019,0.326040031097155,"1","1"
"187",-4,-5,-1,-5,-3,-1,-5,-1,-1,-3,-4,-5,2,-1.11434150298306,-2.82507313922242,"2","3"
"188",-4,-4,-2,-3,-1,-1,-4,-1,-1,-3,-1,-2,2,0.513462986815452,-4.66174539099505,"2","3"
"189",-5,-1,-3,-5,-5,-3,-2,-5,-5,-4,-2,-4,1,1.19528140363108,1.92399794136903,"1","1"
"190",-5,-3,-2,-5,-3,-5,-5,-3,-4,-5,-1,-5,3,-1.33853660195231,0.457920635934831,"3","2"
"191",-5,-5,-5,-5,-1,-3,-5,-3,-3,-5,-3,-5,3,-3.28479644580856,-0.535791875226333,"3","2"
"192",-5,-3,-3,-5,-3,-2,-3,-4,-5,-4,-3,-4,1,-0.127228212207253,0.897612278617261,"1","1"
"193",-5,-4,-5,-5,-3,-4,-3,-4,-5,-4,-3,-2,3,-0.902928188042455,1.05521706608581,"3","2"
"194",-5,-1,-3,-5,-5,-3,-3,-5,-5,-3,-3,-3,1,1.07595858443649,1.76980119917639,"1","1"
"195",-5,-1,-2,-5,-3,-2,-2,-4,-5,-4,-1,-4,1,1.53886647394856,0.705216411739497,"1","1"
"196",-5,-4,-3,-4,-3,-4,-5,-2,-4,-3,-1,-5,3,-1.41321221637414,-0.74985731906951,"3","2"
"197",-5,-3,-3,-4,-2,-5,-5,-2,-4,-5,-3,-5,3,-2.65491001590678,-0.62542907000119,"3","2"
"198",-5,-2,-4,-3,-3,-2,-4,-4,-5,-5,-2,-4,3,-0.417745714677917,0.116483878538823,"3","2"
"199",-5,-1,-2,-3,-2,-5,-5,-3,-3,-4,-3,-3,2,-1.04369802467502,-1.43900317015909,"2","3"
"200",-3,-1,-3,-4,-1,-2,-2,-3,-2,-3,-3,-5,2,0.108815198715599,-2.95506451025897,"2","3"
"201",-4,-1,-3,-4,-4,-4,-4,-4,-4,-4,-2,-4,3,0.111302304308258,-0.0266511494611702,"3","2"
"202",-5,-4,-4,-5,-5,-2,-1,-4,-3,-3,-1,-3,1,1.35983086529843,0.321486354591856,"1","1"
"203",-5,-4,-5,-5,-5,-5,-5,-2,-3,-3,-2,-5,3,-2.25740093365414,0.0350550395786853,"3","3"
"204",-5,-5,-5,-5,-5,-4,-3,-4,-4,-3,-2,-3,3,-0.594794100122209,1.13039121714338,"3","2"
"205",-3,-1,-1,-5,-5,-2,-2,-5,-5,-4,-2,-3,1,2.94487077463133,0.740461609470516,"1","1"
"206",-5,-1,-2,-5,-3,-1,-4,-5,-5,-3,-2,-3,1,1.5429613537149,0.922265047108965,"1","1"
"207",-5,-2,-3,-5,-3,-3,-5,-5,-5,-5,-2,-5,3,-0.848841495557723,1.6504844538967,"3","2"
"208",-4,-3,-2,-5,-5,-2,-3,-5,-5,-4,-2,-3,1,1.65799766243352,1.31567078728676,"1","1"
"209",-5,-5,-4,-5,-5,-3,-4,-5,-5,-3,-2,-3,3,-0.0826761267733358,1.91214857895178,"3","2"
"210",-5,-1,-3,-5,-3,-3,-3,-4,-4,-2,-1,-4,1,0.878618226125161,0.173666144801664,"1","1"
"211",-3,-3,-3,-5,-3,-3,-4,-5,-5,-4,-3,-4,3,-0.100366072587218,0.575699602412668,"3","2"
"212",-5,-3,-3,-4,-4,-4,-5,-4,-3,-3,-2,-4,3,-0.762987298097722,-0.0553621289629549,"3","2"
"213",-5,-1,-5,-5,-4,-4,-2,-3,-2,-2,-1,-3,2,0.533242791589329,-0.819285618799096,"2","1"
"214",-5,-5,-5,-5,-4,-2,-1,-5,-5,-2,-1,-4,1,0.693590793477594,1.41888940707932,"1","1"
"215",-5,-5,-4,-5,-3,-2,-1,-5,-5,-3,-2,-5,1,-0.00982169672416433,1.34934334130097,"1","1"
