"","df.Music","df.Slow.songs.or.fast.songs","df.Dance","df.Folk","df.Country","df.Classical.music","df.Musical","df.Rock","df.Metal.or.Hardrock","df.Punk","df.Hiphop..Rap","df.Reggae..Ska","df.Swing..Jazz","df.Rock.n.roll","df.Alternative","df.Latino","df.Techno..Trance","df.Opera","df.Pop","cluster"
"22",-5,-3,-4,-2,-2,-2,-4,-5,-2,-3,-3,-3,-3,-3,-1,-4,-1,-1,-4,2
"23",-5,-2,-3,-1,-1,-4,-3,-5,-5,-5,-1,-1,-1,-2,-3,-2,-3,-4,-3,3
"24",-5,-3,-4,-2,-1,-2,-3,-1,-1,-1,-3,-1,-2,-1,-1,-4,-2,-1,-5,1
"25",-5,-5,-5,-5,-4,-5,-3,-4,-3,-2,-2,-1,-3,-5,-3,-5,-2,-2,-4,2
"26",-4,-5,-3,-4,-1,-3,-2,-4,-2,-4,-2,-4,-2,-3,-4,-3,-4,-2,-2,3
"27",-5,-3,-5,-1,-1,-1,-1,-4,-1,-3,-5,-2,-1,-4,-3,-2,-3,-1,-3,1
"28",-5,-4,-3,-4,-2,-3,-3,-4,-1,-3,-3,-4,-3,-4,-3,-4,-3,-2,-3,2
"29",-4,-3,-4,-3,-3,-3,-3,-4,-2,-2,-4,-3,-4,-3,-3,-3,-3,-3,-4,2
"30",-4,-3,-4,-1,-3,-2,-3,-3,-1,-1,-3,-3,-2,-1,-1,-5,-1,-2,-5,1
"31",-5,-5,-3,-1,-3,-2,-3,-4,-3,-4,-4,-2,-2,-4,-4,-2,-3,-1,-3,3
"32",-5,-4,-2,-2,-3,-4,-5,-3,-1,-1,-1,-3,-4,-4,-3,-2,-1,-5,-4,2
"33",-5,-4,-3,-2,-1,-3,-4,-5,-3,-4,-2,-3,-3,-4,-4,-2,-1,-1,-4,3
"34",-5,-3,-3,-3,-1,-4,-5,-3,-1,-1,-4,-3,-1,-3,-3,-5,-1,-1,-5,2
"35",-5,-3,-1,-3,-2,-3,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,-4,1
"36",-5,-5,-1,-1,-1,-5,-1,-3,-5,-2,-1,-2,-2,-2,-1,-1,-1,-1,-2,3
"37",-5,-5,-5,-3,-1,-5,-2,-4,-1,-2,-4,-5,-2,-2,-1,-3,-4,-4,-5,2
"38",-5,-3,-3,-3,-2,-2,-3,-5,-4,-4,-1,-2,-1,-5,-2,-1,-2,-2,-5,3
"39",-4,-3,-4,-1,-1,-1,-1,-1,-1,-1,-3,-2,-1,-1,-1,-2,-3,-1,-5,1
"40",-5,-4,-5,-5,-5,-5,-1,-4,-5,-1,-5,-5,-5,-5,-5,-5,-5,-1,-1,2
"41",-5,-5,-2,-2,-2,-3,-4,-5,-4,-4,-3,-3,-3,-3,-4,-3,-3,-1,-5,3
"42",-5,-4,-3,-1,-1,-2,-2,-4,-1,-2,-3,-2,-2,-2,-4,-3,-3,-1,-5,1
"43",-4,-4,-4,-2,-1,-3,-3,-4,-1,-1,-3,-1,-3,-3,-4,-5,-4,-3,-4,2
"44",-5,-3,-4,-3,-4,-1,-5,-5,-3,-2,-5,-2,-3,-5,-4,-5,-2,-2,-5,2
"45",-5,-4,-3,-1,-1,-1,-4,-2,-1,-2,-5,-5,-2,-2,-2,-4,-2,-1,-3,1
"46",-5,-4,-2,-1,-2,-2,-2,-5,-3,-5,-3,-2,-2,-4,-2,-1,-2,-1,-3,3
"47",-4,-3,-2,-4,-2,-5,-5,-5,-2,-4,-4,-4,-3,-4,-4,-5,-1,-2,-5,2
"48",-5,-3,-5,-5,-5,-5,-5,-5,-4,-2,-5,-5,-5,-5,-2,-5,-2,-5,-5,2
"49",-5,-3,-4,-4,-3,-4,-5,-3,-2,-2,-3,-3,-3,-3,-3,-5,-2,-5,-4,2
"50",-5,-3,-5,-5,-3,-5,-5,-5,-4,-3,-3,-3,-4,-4,-3,-5,-4,-5,-5,2
"51",-5,-3,-4,-2,-2,-4,-3,-3,-3,-2,-4,-3,-3,-4,-4,-4,-5,-3,-4,2
"52",-5,-3,-3,-3,-2,-3,-2,-5,-2,-2,-2,-2,-4,-5,-5,-1,-1,-2,-2,3
"53",-5,-5,-5,-3,-2,-3,-2,-1,-1,-1,-2,-2,-1,-2,-2,-3,-3,-1,-5,1
"54",-5,-4,-2,-1,-2,-3,-1,-4,-3,-5,-3,-3,-4,-5,-5,-1,-4,-3,-3,3
"55",-5,-2,-2,-2,-2,-4,-4,-4,-1,-3,-2,-3,-3,-4,-4,-2,-1,-3,-4,3
"56",-5,-3,-5,-1,-2,-4,-3,-4,-1,-2,-3,-2,-3,-3,-3,-4,-4,-3,-4,2
"57",-5,-3,-5,-4,-5,-4,-4,-4,-5,-4,-5,-4,-5,-5,-5,-4,-5,-5,-5,2
"58",-5,-3,-3,-1,-1,-1,-4,-5,-1,-3,-2,-1,-2,-2,-1,-3,-2,-2,-4,1
"59",-4,-3,-3,-1,-2,-2,-1,-3,-3,-2,-4,-2,-2,-2,-1,-2,-4,-2,-3,1
"60",-4,-3,-4,-2,-2,-2,-4,-3,-4,-3,-3,-3,-3,-2,-2,-4,-5,-1,-5,2
"61",-3,-4,-4,-3,-2,-2,-4,-1,-1,-1,-4,-3,-4,-4,-1,-5,-1,-1,-5,2
"62",-5,-5,-3,-2,-1,-2,-4,-5,-5,-5,-1,-5,-4,-4,-3,-2,-4,-2,-3,3
"63",-5,-4,-1,-1,-1,-1,-4,-4,-1,-1,-1,-1,-1,-2,-1,-4,-1,-2,-5,1
"64",-5,-3,-5,-2,-2,-2,-3,-3,-1,-1,-5,-2,-3,-1,-1,-2,-3,-1,-5,1
"65",-4,-3,-2,-3,-1,-4,-1,-1,-1,-1,-4,-4,-1,-2,-3,-1,-3,-1,-4,1
"66",-5,-3,-2,-2,-2,-2,-5,-5,-2,-4,-4,-2,-2,-3,-3,-5,-1,-1,-5,2
"67",-5,-3,-3,-2,-2,-2,-1,-2,-1,-2,-5,-2,-2,-2,-2,-4,-3,-1,-5,1
"68",-5,-3,-2,-1,-4,-5,-3,-1,-1,-1,-5,-4,-1,-1,-1,-1,-2,-4,-2,1
"69",-5,-3,-3,-4,-4,-3,-1,-5,-4,-4,-3,-5,-4,-5,-4,-4,-1,-2,-1,3
"70",-5,-3,-5,-1,-2,-2,-2,-4,-2,-1,-4,-2,-2,-2,-2,-5,-5,-1,-5,1
"71",-4,-4,-4,-2,-4,-1,-5,-3,-1,-1,-4,-5,-5,-5,-3,-5,-4,-2,-5,2
"72",-5,-3,-4,-4,-4,-3,-4,-5,-2,-2,-5,-3,-3,-3,-3,-4,-4,-4,-5,2
"73",-5,-3,-4,-2,-2,-2,-3,-5,-2,-3,-4,-4,-3,-4,-2,-5,-3,-2,-4,2
"74",-5,-4,-4,-1,-2,-3,-3,-4,-2,-3,-4,-4,-3,-4,-3,-5,-3,-3,-5,2
"75",-5,-5,-1,-3,-1,-3,-2,-5,-5,-4,-1,-1,-2,-2,-5,-1,-1,-3,-1,3
"76",-5,-3,-5,-1,-2,-4,-4,-5,-3,-1,-3,-2,-4,-3,-1,-5,-5,-3,-5,2
"77",-5,-3,-1,-1,-4,-5,-5,-5,-5,-5,-4,-4,-5,-5,-4,-3,-1,-5,-1,3
"78",-5,-2,-3,-3,-5,-5,-3,-4,-4,-1,-1,-1,-2,-3,-3,-2,-4,-3,-3,2
"79",-4,-3,-4,-3,-3,-3,-2,-5,-3,-3,-4,-3,-3,-3,-3,-2,-3,-3,-4,2
"80",-5,-4,-4,-1,-2,-2,-4,-5,-2,-4,-3,-5,-3,-4,-4,-5,-2,-1,-4,2
"81",-5,-5,-5,-1,-1,-5,-2,-5,-1,-1,-1,-1,-5,-5,-4,-5,-5,-1,-5,2
"82",-5,-3,-3,-2,-1,-4,-3,-5,-3,-3,-1,-2,-4,-4,-4,-2,-1,-3,-3,3
"83",-4,-2,-3,-2,-1,-3,-4,-4,-1,-3,-1,-3,-1,-2,-3,-1,-1,-1,-3,1
"84",-5,-2,-1,-3,-4,-4,-4,-3,-1,-2,-1,-3,-5,-4,-3,-3,-1,-4,-2,2
"85",-5,-4,-1,-5,-5,-4,-4,-3,-3,-3,-1,-1,-5,-4,-1,-1,-1,-4,-4,3
"86",-5,-5,-5,-1,-1,-1,-2,-3,-1,-3,-5,-2,-1,-3,-3,-1,-4,-1,-4,1
"87",-5,-3,-3,-2,-2,-4,-3,-3,-1,-2,-5,-5,-4,-4,-2,-3,-2,-2,-3,2
"88",-5,-3,-1,-1,-1,-1,-1,-4,-5,-4,-3,-1,-1,-1,-4,-1,-4,-1,-2,3
"89",-5,-3,-2,-1,-1,-1,-1,-1,-1,-1,-5,-2,-2,-1,-1,-1,-2,-1,-2,1
"90",-3,-5,-5,-1,-1,-1,-1,-5,-2,-1,-1,-3,-2,-2,-5,-5,-3,-1,-3,1
"91",-5,-3,-4,-1,-1,-2,-2,-2,-1,-3,-2,-4,-1,-2,-1,-4,-1,-1,-4,1
"92",-5,-4,-4,-3,-2,-4,-5,-5,-3,-2,-4,-4,-3,-3,-2,-3,-2,-2,-4,2
"93",-5,-3,-1,-3,-2,-3,-1,-4,-5,-4,-1,-4,-3,-3,-3,-1,-1,-2,-2,3
"94",-5,-3,-1,-2,-3,-5,-4,-5,-2,-5,-1,-4,-5,-5,-5,-2,-1,-4,-1,3
"95",-4,-4,-3,-3,-2,-4,-2,-4,-4,-3,-3,-3,-4,-4,-4,-3,-3,-2,-2,3
"96",-5,-5,-1,-3,-1,-3,-2,-4,-5,-1,-1,-2,-3,-1,-1,-1,-1,-2,-2,3
"97",-5,-3,-4,-4,-5,-5,-3,-5,-1,-2,-4,-4,-4,-5,-3,-5,-3,-4,-4,2
"98",-4,-3,-2,-2,-1,-4,-1,-4,-4,-3,-2,-1,-1,-2,-3,-2,-2,-3,-2,3
"99",-5,-2,-2,-2,-4,-4,-2,-5,-5,-3,-2,-2,-2,-3,-1,-3,-1,-4,-3,3
"100",-5,-4,-4,-5,-2,-3,-1,-4,-1,-1,-1,-4,-5,-4,-4,-4,-4,-1,-4,2
"101",-5,-3,-4,-3,-2,-5,-3,-4,-2,-2,-3,-3,-4,-4,-5,-2,-4,-4,-3,2
"102",-5,-3,-4,-2,-2,-4,-3,-3,-2,-2,-1,-3,-4,-2,-3,-5,-4,-1,-3,2
"103",-5,-3,-2,-1,-1,-3,-4,-4,-1,-3,-2,-2,-2,-3,-3,-1,-1,-4,-4,3
"104",-5,-3,-2,-2,-2,-2,-1,-5,-1,-2,-1,-1,-2,-4,-5,-2,-1,-1,-3,3
"105",-5,-3,-2,-2,-1,-1,-3,-3,-2,-1,-1,-1,-1,-2,-1,-4,-1,-1,-5,1
"106",-5,-3,-1,-2,-2,-4,-1,-4,-2,-4,-2,-4,-4,-4,-4,-2,-1,-1,-3,3
"107",-4,-2,-4,-2,-1,-3,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-3,-2,-4,1
"108",-5,-5,-4,-1,-2,-4,-4,-5,-5,-2,-1,-3,-5,-5,-3,-4,-3,-2,-2,3
"109",-4,-3,-2,-3,-4,-2,-1,-4,-2,-2,-4,-2,-2,-4,-1,-1,-3,-1,-4,1
"110",-5,-3,-3,-2,-2,-5,-3,-5,-2,-4,-1,-3,-4,-4,-5,-3,-1,-3,-1,3
"111",-5,-3,-3,-3,-3,-3,-4,-5,-3,-1,-3,-1,-5,-5,-3,-3,-1,-3,-3,2
"112",-5,-3,-3,-3,-2,-3,-2,-4,-3,-3,-2,-4,-5,-3,-4,-3,-2,-2,-2,3
"113",-3,-5,-4,-1,-1,-3,-1,-4,-1,-4,-4,-1,-1,-1,-2,-1,-1,-1,-4,1
"114",-4,-3,-3,-3,-4,-4,-3,-4,-3,-3,-3,-4,-3,-4,-4,-2,-3,-3,-4,2
"115",-5,-5,-5,-1,-5,-5,-5,-5,-5,-1,-2,-3,-1,-5,-5,-5,-5,-2,-5,2
"116",-5,-4,-5,-3,-1,-2,-2,-5,-2,-2,-2,-3,-4,-3,-4,-3,-1,-1,-4,2
"117",-5,-4,-3,-1,-1,-2,-2,-2,-1,-2,-5,-2,-1,-1,-1,-1,-3,-1,-4,1
"118",-5,-4,-3,-1,-1,-1,-1,-4,-1,-5,-2,-4,-3,-2,-2,-2,-1,-1,-4,1
"119",-5,-3,-2,-4,-1,-4,-2,-3,-1,-1,-1,-2,-5,-1,-1,-3,-1,-3,-1,1
"120",-5,-3,-4,-3,-3,-3,-3,-3,-1,-1,-4,-4,-4,-4,-4,-4,-4,-2,-3,2
"121",-5,-3,-2,-1,-3,-5,-1,-5,-4,-4,-3,-5,-4,-4,-5,-1,-1,-3,-3,3
"122",-5,-3,-4,-3,-2,-3,-2,-3,-1,-1,-5,-1,-1,-1,-1,-1,-1,-3,-4,1
"123",-5,-3,-2,-3,-3,-4,-5,-1,-1,-1,-3,-3,-4,-4,-2,-3,-1,-2,-2,2
"124",-5,-4,-5,-3,-2,-3,-3,-4,-1,-2,-5,-3,-4,-4,-1,-2,-3,-2,-5,2
"125",-3,-4,-1,-3,-1,-3,-1,-5,-5,-4,-4,-3,-1,-1,-5,-5,-2,-1,-3,3
"126",-1,-4,-4,-1,-1,-2,-2,-4,-1,-1,-1,-2,-1,-1,-3,-2,-3,-2,-2,1
"127",-5,-4,-3,-2,-3,-2,-2,-5,-4,-3,-5,-2,-2,-2,-4,-2,-1,-1,-3,3
"128",-4,-3,-4,-4,-4,-3,-3,-3,-2,-3,-4,-3,-2,-4,-3,-3,-3,-2,-5,2
"129",-2,-3,-1,-3,-1,-3,-4,-2,-2,-2,-3,-2,-1,-1,-1,-1,-1,-2,-1,1
"130",-5,-2,-2,-2,-3,-4,-4,-5,-5,-3,-1,-2,-4,-4,-3,-1,-1,-4,-3,3
"131",-5,-4,-3,-1,-1,-3,-2,-4,-4,-4,-2,-5,-4,-4,-4,-2,-2,-1,-2,3
"132",-5,-3,-5,-2,-2,-3,-3,-4,-2,-1,-4,-3,-3,-4,-3,-2,-2,-2,-4,2
"133",-2,-5,-5,-2,-2,-3,-2,-2,-1,-2,-4,-1,-4,-2,-1,-3,-3,-3,-4,1
"134",-5,-3,-1,-2,-4,-5,-1,-5,-4,-4,-2,-2,-3,-3,-3,-2,-1,-3,-1,3
"135",-5,-4,-4,-3,-3,-5,-2,-3,-2,-3,-3,-2,-4,-3,-4,-2,-2,-3,-3,2
"136",-5,-4,-2,-4,-3,-4,-2,-5,-2,-5,-3,-5,-2,-3,-3,-2,-1,-2,-3,3
"137",-5,-5,-4,-4,-4,-2,-2,-4,-4,-4,-2,-2,-2,-1,-2,-1,-1,-2,-4,3
"138",-5,-3,-4,-2,-1,-3,-2,-4,-1,-3,-4,-5,-4,-3,-3,-2,-5,-1,-5,2
"139",-5,-3,-3,-2,-1,-2,-1,-5,-4,-5,-3,-5,-4,-4,-5,-1,-3,-1,-1,3
"140",-5,-3,-2,-2,-2,-2,-2,-5,-3,-3,-4,-3,-2,-3,-2,-2,-3,-2,-4,1
"141",-4,-2,-3,-5,-4,-5,-2,-3,-1,-1,-5,-4,-3,-2,-1,-5,-1,-3,-4,2
"142",-5,-5,-3,-1,-1,-2,-1,-3,-2,-1,-1,-1,-1,-1,-3,-1,-5,-1,-4,1
"143",-5,-4,-5,-2,-4,-3,-1,-1,-1,-1,-5,-3,-3,-2,-1,-5,-2,-1,-4,1
"144",-5,-5,-1,-2,-1,-3,-1,-3,-5,-2,-1,-1,-1,-1,-2,-2,-1,-5,-1,3
"145",-5,-4,-4,-1,-2,-4,-3,-4,-1,-3,-3,-3,-3,-4,-2,-1,-1,-1,-4,1
"146",-5,-3,-2,-1,-2,-4,-4,-5,-4,-3,-1,-1,-3,-3,-4,-1,-1,-1,-3,3
"147",-4,-3,-2,-3,-2,-2,-1,-4,-2,-2,-2,-3,-5,-4,-5,-4,-1,-1,-3,3
"148",-5,-4,-3,-1,-2,-4,-3,-4,-1,-1,-4,-3,-3,-3,-2,-1,-1,-1,-4,1
"149",-5,-3,-2,-3,-3,-4,-4,-5,-5,-5,-2,-4,-4,-4,-4,-2,-1,-3,-2,3
"150",-5,-3,-2,-1,-2,-4,-4,-2,-1,-1,-2,-1,-2,-3,-2,-1,-5,-4,-3,1
"151",-5,-2,-1,-5,-3,-3,-3,-1,-1,-1,-1,-1,-1,-1,-1,-3,-1,-5,-1,1
"152",-5,-3,-1,-1,-1,-5,-3,-5,-5,-2,-3,-4,-4,-4,-2,-4,-2,-1,-3,3
"153",-5,-3,-1,-4,-2,-4,-3,-5,-5,-3,-1,-3,-3,-3,-5,-2,-1,-3,-1,3
"154",-4,-3,-1,-3,-3,-5,-2,-4,-4,-3,-1,-2,-2,-4,-3,-2,-1,-4,-2,3
"155",-4,-3,-1,-2,-2,-5,-2,-1,-2,-1,-1,-1,-4,-1,-1,-1,-4,-5,-1,1
"156",-4,-4,-2,-1,-1,-3,-3,-5,-4,-5,-2,-2,-1,-4,-4,-1,-1,-1,-2,3
"157",-5,-3,-4,-3,-3,-4,-3,-4,-3,-3,-4,-4,-5,-3,-3,-5,-3,-3,-3,2
"158",-5,-3,-4,-3,-2,-4,-4,-5,-4,-3,-2,-4,-3,-2,-3,-4,-1,-5,-4,2
"159",-5,-4,-2,-2,-2,-3,-4,-5,-1,-2,-1,-1,-4,-5,-5,-1,-1,-2,-2,3
"160",-3,-3,-3,-1,-1,-2,-5,-2,-1,-1,-4,-3,-3,-4,-1,-5,-3,-1,-3,1
"161",-4,-2,-2,-4,-2,-3,-3,-2,-1,-1,-1,-1,-3,-2,-2,-3,-2,-4,-4,1
"162",-5,-3,-1,-2,-2,-2,-1,-3,-2,-2,-1,-1,-2,-1,-5,-1,-5,-1,-4,1
"163",-3,-3,-3,-3,-2,-5,-4,-3,-1,-1,-3,-2,-2,-2,-2,-2,-1,-4,-3,2
"164",-5,-3,-1,-3,-2,-5,-3,-4,-5,-4,-1,-1,-1,-3,-2,-1,-1,-4,-1,3
"165",-4,-4,-2,-2,-2,-4,-2,-4,-5,-3,-2,-3,-2,-3,-3,-2,-2,-3,-2,3
"166",-5,-3,-2,-5,-2,-4,-5,-2,-1,-1,-1,-3,-4,-3,-4,-3,-1,-4,-5,2
"167",-5,-1,-4,-1,-2,-3,-3,-4,-1,-3,-5,-2,-1,-3,-2,-3,-4,-1,-5,1
"168",-5,-3,-1,-4,-3,-5,-3,-5,-5,-4,-1,-3,-3,-5,-5,-1,-1,-3,-1,3
"169",-5,-4,-1,-2,-1,-3,-2,-4,-2,-4,-2,-3,-1,-5,-5,-1,-1,-1,-2,3
"170",-5,-3,-2,-2,-2,-3,-2,-3,-1,-1,-5,-3,-3,-3,-3,-2,-1,-2,-2,1
"171",-5,-3,-2,-2,-2,-2,-3,-4,-3,-3,-4,-4,-3,-3,-3,-3,-3,-3,-4,2
"172",-5,-3,-3,-4,-2,-2,-2,-5,-3,-5,-5,-4,-2,-5,-2,-2,-2,-2,-3,3
"173",-5,-4,-4,-1,-1,-1,-1,-3,-1,-1,-4,-2,-1,-1,-1,-2,-4,-1,-2,1
"174",-4,-3,-3,-1,-2,-4,-3,-4,-4,-3,-5,-4,-3,-4,-2,-2,-2,-1,-4,3
"175",-5,-3,-5,-1,-1,-1,-1,-2,-1,-1,-5,-3,-1,-1,-1,-1,-4,-1,-3,1
"176",-5,-3,-4,-2,-2,-3,-1,-5,-3,-3,-3,-3,-2,-2,-2,-4,-3,-3,-4,1
"177",-5,-3,-3,-3,-2,-3,-3,-5,-4,-4,-2,-5,-4,-5,-4,-3,-1,-2,-2,3
"178",-5,-1,-2,-4,-3,-5,-5,-4,-3,-1,-1,-1,-4,-5,-3,-4,-1,-5,-4,2
"179",-5,-3,-5,-2,-2,-5,-5,-4,-4,-3,-1,-2,-4,-4,-3,-1,-1,-5,-3,3
"180",-5,-3,-2,-3,-3,-4,-5,-3,-1,-4,-2,-2,-3,-4,-2,-4,-1,-4,-3,2
"181",-5,-3,-3,-2,-1,-3,-2,-4,-1,-5,-4,-5,-5,-5,-3,-3,-1,-2,-4,2
"182",-5,-4,-5,-5,-5,-5,-1,-5,-4,-3,-4,-4,-4,-5,-3,-4,-5,-1,-4,2
"183",-5,-4,-5,-1,-2,-2,-5,-5,-1,-1,-5,-4,-4,-5,-2,-5,-4,-1,-5,2
"184",-5,-3,-1,-3,-3,-5,-1,-4,-2,-3,-3,-2,-4,-5,-5,-1,-2,-5,-2,3
"185",-5,-4,-4,-2,-3,-3,-4,-5,-2,-5,-4,-2,-2,-2,-4,-3,-5,-2,-5,2
"186",-4,-3,-2,-2,-2,-3,-3,-5,-4,-3,-2,-2,-5,-5,-4,-3,-1,-2,-3,3
"187",-1,-3,-2,-2,-1,-1,-1,-1,-1,-1,-5,-1,-1,-1,-1,-5,-1,-1,-3,1
"188",-5,-4,-1,-1,-1,-1,-1,-4,-5,-3,-2,-1,-1,-3,-1,-1,-2,-1,-1,3
"189",-5,-3,-4,-1,-3,-2,-5,-3,-1,-2,-3,-1,-2,-4,-4,-3,-2,-3,-4,2
"190",-5,-4,-2,-1,-3,-2,-3,-3,-1,-1,-4,-3,-1,-2,-2,-1,-3,-2,-4,1
"191",-5,-5,-5,-1,-1,-1,-2,-1,-1,-1,-5,-2,-1,-1,-1,-2,-5,-1,-3,1
"192",-5,-3,-4,-3,-3,-4,-2,-3,-1,-2,-5,-4,-4,-2,-5,-3,-1,-3,-1,2
"193",-5,-3,-4,-5,-1,-4,-3,-5,-5,-4,-5,-5,-5,-4,-4,-3,-4,-3,-3,2
"194",-5,-3,-3,-2,-4,-4,-3,-5,-3,-3,-2,-1,-4,-3,-3,-3,-1,-1,-5,3
"195",-5,-3,-3,-3,-2,-3,-1,-2,-2,-1,-4,-3,-4,-2,-2,-5,-2,-2,-4,1
"196",-5,-3,-2,-2,-3,-5,-4,-5,-3,-4,-3,-3,-2,-3,-5,-2,-1,-2,-4,3
"197",-5,-4,-2,-3,-2,-4,-4,-5,-2,-4,-3,-4,-4,-5,-5,-3,-2,-2,-2,3
"198",-5,-2,-2,-4,-3,-5,-3,-4,-3,-3,-2,-3,-5,-3,-4,-4,-1,-3,-2,3
"199",-4,-3,-3,-5,-3,-4,-2,-3,-1,-2,-1,-2,-5,-4,-4,-3,-2,-3,-3,2
"200",-4,-3,-4,-2,-4,-1,-1,-3,-1,-4,-2,-5,-3,-3,-2,-2,-3,-3,-4,1
"201",-5,-2,-2,-5,-4,-5,-5,-3,-1,-3,-4,-3,-3,-3,-3,-5,-2,-3,-5,2
"202",-5,-1,-3,-2,-3,-2,-2,-5,-3,-3,-1,-2,-3,-5,-1,-5,-1,-1,-4,3
"203",-5,-3,-1,-2,-4,-4,-1,-3,-2,-2,-3,-4,-5,-3,-1,-4,-3,-1,-2,2
"204",-4,-4,-4,-2,-2,-4,-3,-4,-4,-4,-4,-4,-2,-4,-3,-4,-4,-1,-4,2
"205",-4,-4,-4,-4,-3,-2,-1,-5,-4,-4,-2,-4,-1,-3,-4,-5,-1,-1,-4,3
"206",-5,-3,-1,-1,-1,-3,-3,-5,-4,-2,-1,-1,-3,-4,-2,-4,-1,-2,-3,3
"207",-1,-3,-3,-3,-2,-3,-5,-4,-3,-3,-2,-4,-3,-4,-2,-4,-1,-1,-4,2
"208",-5,-4,-4,-2,-1,-3,-3,-3,-1,-1,-5,-4,-3,-2,-2,-5,-3,-2,-4,1
"209",-5,-2,-2,-1,-2,-2,-3,-2,-1,-1,-5,-3,-2,-3,-2,-4,-1,-1,-4,1
"210",-5,-3,-4,-2,-1,-5,-2,-4,-1,-3,-3,-3,-4,-4,-4,-2,-2,-4,-2,2
"211",-3,-4,-2,-1,-1,-1,-1,-3,-2,-1,-2,-2,-2,-2,-2,-1,-2,-1,-2,1
"212",-5,-4,-2,-1,-1,-3,-5,-3,-1,-2,-5,-3,-3,-3,-3,-2,-1,-4,-3,2
"213",-3,-3,-3,-2,-1,-2,-5,-4,-1,-1,-1,-1,-2,-2,-1,-4,-1,-3,-5,1
"214",-5,-3,-5,-2,-4,-3,-5,-5,-2,-3,-2,-3,-3,-4,-3,-5,-2,-1,-5,2
"215",-5,-3,-2,-3,-3,-2,-2,-4,-3,-4,-4,-5,-4,-5,-5,-3,-1,-1,-3,3
"216",-5,-3,-3,-2,-3,-4,-1,-5,-2,-2,-3,-4,-4,-4,-1,-5,-1,-4,-4,2
"217",-5,-3,-3,-2,-1,-4,-5,-5,-2,-3,-3,-4,-5,-3,-5,-4,-2,-1,-3,2
"218",-5,-3,-4,-1,-1,-4,-3,-5,-4,-3,-4,-2,-2,-2,-2,-2,-3,-3,-4,1
"219",-5,-3,-3,-4,-4,-4,-4,-5,-4,-4,-2,-2,-4,-4,-4,-5,-2,-4,-5,2
"220",-5,-3,-3,-2,-1,-2,-2,-3,-2,-2,-4,-4,-2,-2,-2,-4,-2,-1,-4,1
