"","Movies","Horror","Thriller","Comedy","Romantic","Sci.fi","War","Fantasy.Fairy.tales","Animated","Documentary","Western","Action","Age","Height","Weight","Number.of.siblings","Gender","Left...right.handed","Education","Only.child","Village...town","House...block.of.flats","cluster"
"23",5,4,2,5,5,2,2,2,2,3,1,4,19,167,51,1,1,2,5,0,2,1,1
"24",5,1,2,5,5,1,1,4,3,3,1,1,20,170,56,1,1,2,5,1,2,1,1
"25",5,3,2,5,4,2,5,5,5,5,2,1,22,165,63,1,1,1,1,0,2,2,1
"26",5,2,4,3,4,5,3,2,4,5,2,5,19,163,50,1,1,2,5,0,2,2,1
"27",5,3,3,5,3,1,5,4,4,3,4,4,20,187,80,2,0,1,5,1,1,2,2
"28",5,3,2,5,5,2,4,5,5,4,2,2,19,168,60,2,1,2,5,0,1,1,1
"29",5,2,5,4,3,4,4,3,3,4,3,5,25,183,87,1,0,2,5,0,2,1,2
"30",4,1,1,5,5,2,2,5,5,4,1,1,22,177,80,1,1,2,5,0,2,1,2
"31",5,5,5,5,5,2,3,5,5,3,2,4,20,158,46,4,1,1,5,0,2,1,1
"32",4,3,4,4,3,1,3,5,4,5,2,3,27,170,70,1,1,2,4,0,2,1,1
"33",5,2,3,5,4,4,2,2,5,3,1,5,20,177,67,5,0,2,1,0,2,1,1
"34",5,1,2,5,5,3,4,1,1,1,1,5,19,170,72,1,1,2,5,0,1,2,1
"35",5,3,5,4,4,4,4,5,5,3,1,5,18,173,65,1,1,2,5,0,2,1,1
"36",4,3,2,5,2,3,4,2,2,4,3,4,21,185,101,1,0,2,5,0,2,1,2
"37",5,1,4,5,5,3,3,5,5,5,2,5,23,168,60,1,1,2,5,0,1,2,1
"38",4,5,5,5,5,3,4,5,5,4,2,3,21,155,46,1,1,2,5,0,2,2,1
"39",5,1,5,5,3,2,1,2,2,4,1,5,26,172,62,1,1,2,5,0,2,1,1
"40",3,1,5,5,1,5,5,1,1,5,5,5,20,188,80,3,0,2,1,0,2,1,2
"41",5,4,4,5,5,5,3,5,5,4,3,5,19,170,90,0,1,2,5,1,2,1,2
"42",5,1,1,5,4,3,2,5,5,3,1,4,20,163,55,1,1,2,1,0,2,1,1
"43",5,3,4,5,4,3,1,5,4,4,1,3,25,170,67,1,1,2,4,0,1,1,1
"44",5,5,5,5,3,5,1,3,2,1,1,5,21,163,55,1,1,2,1,0,2,1,1
"45",3,2,2,3,2,2,1,2,2,3,1,2,20,171,70,1,1,2,5,1,1,2,1
"46",5,3,4,5,3,3,3,5,3,1,1,4,20,157,41,1,1,2,5,0,2,1,1
"47",5,1,5,5,4,2,4,4,4,4,1,5,19,175,60,2,1,2,1,0,2,1,1
"48",5,5,5,5,5,5,5,5,5,5,5,5,21,160,58,2,1,2,5,0,1,1,1
"49",5,3,3,5,5,1,5,5,3,3,1,5,18,164,51,4,1,2,5,0,2,1,1
"50",5,5,5,5,5,5,3,5,5,5,2,5,21,160,57,2,1,2,1,0,2,1,1
"51",5,2,4,3,3,2,3,4,4,3,2,3,23,165,45,1,1,2,1,0,1,2,1
"52",5,4,4,5,3,5,3,5,5,5,2,4,21,157,45,1,1,2,5,0,2,1,1
"53",5,2,4,5,1,3,2,3,3,5,1,4,19,185,71,1,0,2,5,0,1,2,2
"54",5,5,3,3,3,4,3,3,2,3,1,3,22,178,74,1,0,2,1,0,2,1,2
"55",5,1,4,4,4,4,5,3,2,4,3,4,23,175,72,1,0,2,1,0,2,1,2
"56",5,3,4,5,5,5,3,4,4,2,2,4,23,165,56,1,0,1,5,0,2,1,1
"57",5,4,5,5,1,5,5,5,5,5,1,5,23,189,81,2,0,2,5,0,2,1,2
"58",5,2,1,5,5,1,3,5,5,2,1,2,18,180,52,0,1,2,5,1,2,1,1
"59",5,5,5,5,3,5,5,4,4,3,2,5,17,185,84,1,0,1,5,1,2,1,2
"60",4,3,4,5,3,5,5,5,5,4,3,3,20,183,83,1,0,2,5,0,1,2,2
"61",5,3,3,5,5,1,2,4,1,2,1,3,24,160,58,0,1,2,1,1,1,2,1
"62",5,1,2,5,4,4,2,5,5,2,1,3,18,162,50,1,1,2,1,0,1,2,1
"63",5,1,1,5,5,1,1,3,5,1,1,1,20,163,47,3,1,1,5,0,2,1,1
"64",5,1,3,5,3,3,3,2,3,2,1,1,17,185,82,1,0,2,5,1,2,2,2
"65",4,2,3,5,3,1,3,3,4,3,1,5,20,175,83,1,0,1,5,1,2,1,2
"66",5,4,5,5,5,3,3,5,5,4,2,5,28,168,52,1,1,2,5,0,2,1,1
"67",5,4,4,5,4,3,5,5,5,3,3,5,21,177,80,1,0,2,5,1,2,2,2
"68",5,1,1,5,1,4,5,3,1,4,5,5,22,190,80,1,0,2,4,0,2,1,2
"69",4,2,3,5,2,1,4,1,2,4,4,4,20,192,77,1,0,2,5,0,1,2,2
"70",5,1,2,5,3,1,1,5,5,5,2,4,21,175,60,1,1,2,5,0,2,1,1
"71",5,3,3,5,4,2,3,5,5,5,3,3,24,148,57,1,1,2,1,0,1,2,1
"72",5,4,4,5,4,5,5,5,5,5,3,4,21,173,63,2,1,2,5,0,2,2,1
"73",5,5,4,5,4,3,4,5,5,4,2,3,19,163,48,1,1,2,5,0,2,1,1
"74",5,4,3,5,3,5,3,5,4,4,3,5,22,177,80,1,0,2,5,0,2,1,2
"75",5,1,2,3,2,4,3,5,5,5,3,4,18,163,47,1,1,2,5,0,2,1,1
"76",5,3,5,5,5,1,1,5,5,5,1,5,22,163,53,2,1,2,5,0,2,1,1
"77",5,5,5,4,1,5,5,3,5,5,5,5,19,168,48,0,1,2,5,1,2,1,1
"78",5,3,3,5,4,3,5,5,5,3,3,3,22,159,53,2,0,2,1,0,2,1,1
"79",5,2,4,4,1,4,4,3,4,4,3,5,24,179,65,3,0,2,4,0,2,1,1
"80",5,1,5,5,4,1,5,3,2,4,2,3,18,159,50,3,1,2,1,0,1,2,1
"81",5,5,5,5,2,2,1,3,3,4,1,5,21,164,75,0,1,2,5,1,2,1,1
"82",5,1,4,4,3,2,3,3,3,3,3,3,22,156,50,2,1,2,4,0,1,2,1
"83",4,2,2,5,4,2,2,5,5,3,1,5,19,154,58,3,1,2,5,0,1,2,1
"84",5,1,3,3,4,3,2,4,4,5,3,3,19,170,63,0,1,2,1,1,2,1,1
"85",4,4,3,3,1,4,3,3,4,3,3,1,24,175,80,2,0,2,4,0,1,2,2
"86",5,5,5,5,1,4,2,2,3,3,1,5,21,179,68,1,0,2,5,0,2,1,2
"87",5,3,3,5,3,5,5,4,4,3,1,5,21,180,75,1,0,2,1,0,2,2,2
"88",2,1,1,5,1,5,5,5,5,1,1,2,19,182,81,1,0,2,1,0,2,1,2
"89",5,2,3,5,3,5,5,3,5,5,3,5,19,200,75,1,0,2,5,0,1,1,2
"90",3,3,3,2,2,5,5,1,3,5,3,5,22,187,70,1,0,2,5,0,1,2,2
"91",3,2,1,5,4,2,1,4,3,5,1,3,18,162,50,1,1,1,5,0,2,2,1
"92",5,2,2,5,5,3,2,5,5,3,2,3,21,172,71,1,1,2,5,0,2,1,2
"93",4,1,4,5,3,4,5,4,5,5,4,5,18,194,90,1,0,2,5,0,1,2,2
"94",5,4,5,5,4,5,4,5,5,5,2,5,20,168,55,0,1,2,5,1,2,1,1
"95",4,4,4,4,2,3,5,4,4,5,3,4,21,180,70,1,0,2,5,0,1,1,2
"96",4,1,2,4,3,1,4,4,5,5,3,3,24,178,74,1,0,2,1,0,1,2,2
"97",5,2,3,5,5,5,5,5,5,4,3,4,19,182,80,1,0,2,5,0,2,1,2
"98",5,3,5,5,4,3,2,4,4,3,1,5,17,168,61,1,1,2,5,0,2,1,1
"99",5,1,4,4,2,5,5,3,3,4,3,5,18,176,65,0,0,2,5,1,2,1,1
"100",4,1,2,5,3,4,5,4,3,4,5,4,21,185,70,1,0,2,1,0,2,2,2
"101",4,1,2,4,4,2,2,5,4,4,2,4,22,166,56,1,1,2,1,0,1,2,1
"102",5,1,3,4,4,3,1,4,4,4,1,2,20,163,54,1,1,1,5,0,2,1,1
"103",5,1,4,4,3,2,2,5,5,3,2,4,19,163,54,1,1,2,5,0,2,2,1
"104",4,1,2,5,5,3,3,5,5,3,1,2,21,169,61,1,1,2,1,0,2,1,1
"105",4,1,2,4,5,2,2,4,2,4,1,4,18,165,55,3,1,2,5,0,1,2,1
"106",5,3,2,3,2,2,3,2,2,3,3,2,23,175,60,1,0,2,1,0,2,1,1
"107",3,2,3,4,3,1,2,3,3,2,1,2,16,161,54,1,1,2,5,0,1,2,1
"108",3,1,3,5,4,2,5,4,4,5,3,5,23,188,90,0,0,2,1,1,2,1,2
"109",4,4,4,4,3,3,4,3,4,1,3,4,21,180,85,2,0,2,5,0,2,1,2
"110",4,4,4,3,2,2,2,4,4,5,2,5,23,156,56,0,1,2,4,1,2,2,1
"111",3,1,4,4,2,1,1,2,4,5,1,4,20,172,80,0,1,1,5,1,1,2,2
"112",5,2,3,5,4,4,3,4,4,3,2,2,20,157,54,1,1,2,5,0,2,1,1
"113",3,1,2,4,4,1,1,5,5,3,1,4,20,163,56,2,1,2,5,0,1,2,1
"114",5,2,4,4,3,4,4,3,3,4,2,4,19,177,64,1,1,2,5,0,2,1,1
"115",5,1,4,3,5,5,5,2,5,2,1,1,15,173,49,3,1,1,5,0,2,2,1
"116",5,1,1,4,5,2,2,5,5,5,2,2,20,178,75,1,1,2,5,0,1,2,2
"117",5,3,5,2,1,4,3,3,3,3,4,5,18,193,103,2,0,2,5,1,1,2,2
"118",5,4,4,5,5,5,4,2,5,4,1,3,15,170,51,1,1,2,5,0,1,2,1
"119",5,1,1,2,2,1,4,5,4,5,1,4,20,170,50,2,1,2,1,0,2,2,1
"120",5,5,3,5,5,5,3,5,5,5,3,4,16,170,59,1,1,2,5,1,1,2,1
"121",4,3,5,5,2,4,5,3,3,5,2,4,18,185,62,1,0,2,5,0,1,1,1
"122",5,4,4,5,4,3,5,2,2,4,3,4,21,185,90,1,0,2,5,0,1,2,2
"123",5,1,2,5,5,1,3,5,4,4,3,2,20,168,50,4,1,2,5,0,1,2,1
"124",5,3,3,5,5,2,1,3,4,1,2,3,19,168,53,1,1,2,1,0,1,1,1
"125",3,3,1,5,5,1,1,5,5,5,1,1,19,170,65,1,1,2,5,1,2,1,1
"126",4,2,4,4,4,1,2,2,2,4,1,1,19,165,78,1,1,2,5,0,1,2,2
"127",5,2,3,3,3,4,3,4,2,4,2,4,18,185,83,2,0,2,5,0,2,1,2
"128",4,4,4,5,5,4,3,3,3,4,3,4,20,165,55,3,0,2,5,0,1,2,1
"129",3,2,2,4,2,5,5,4,4,4,2,2,19,184,85,5,0,2,1,0,2,1,2
"130",5,2,4,4,3,4,2,2,2,3,1,4,22,177,61,1,1,2,5,0,2,1,1
"131",5,4,4,5,2,2,2,3,3,2,1,4,20,180,100,1,0,2,5,0,2,1,2
"132",5,5,3,5,3,2,5,2,3,5,2,4,25,170,72,2,0,2,1,0,2,1,2
"133",3,2,4,5,4,3,3,3,5,4,2,4,21,170,52,0,1,2,1,1,2,1,1
"134",4,4,4,5,3,2,5,1,1,5,3,4,24,185,81,1,0,2,1,0,2,1,2
"135",4,5,4,3,3,4,2,3,4,3,1,2,19,171,72,1,1,2,5,0,2,1,2
"136",5,4,4,4,4,3,3,3,2,3,2,4,25,177,97,1,0,1,3,1,2,1,2
"137",5,5,5,3,2,4,5,3,3,3,4,4,26,175,60,2,0,2,4,0,1,2,1
"138",5,4,4,5,5,4,1,5,5,2,1,4,15,160,48,2,1,2,2,0,1,1,1
"139",5,5,4,5,3,5,5,4,4,4,1,3,19,194,79,1,0,2,5,0,2,1,2
"140",5,2,5,5,3,5,2,4,4,3,1,5,20,172,73,2,1,1,5,1,2,2,2
"141",4,2,2,5,5,3,5,2,1,5,3,2,21,190,89,0,0,1,1,1,2,1,2
"142",4,5,5,3,3,5,3,2,2,4,1,3,22,184,71,1,0,2,5,0,2,1,2
"143",5,1,1,5,5,2,5,3,2,4,1,3,20,168,60,1,1,2,1,1,2,1,1
"144",4,4,4,5,3,3,2,3,4,3,1,4,21,161,65,1,1,2,5,0,2,1,1
"145",5,5,5,5,3,3,3,4,4,4,3,4,20,180,71,0,1,2,5,1,2,1,2
"146",5,3,2,2,1,2,4,3,5,3,2,3,19,157,57,2,1,2,5,1,1,2,1
"147",3,1,2,5,2,3,5,4,5,4,1,3,19,176,64,1,0,2,5,0,2,1,1
"148",5,5,5,5,3,3,4,3,4,3,2,4,20,180,72,0,0,2,5,1,2,1,2
"149",3,3,3,4,2,5,4,3,4,5,3,3,22,191,85,1,0,2,5,0,1,2,2
"150",5,4,3,5,4,5,3,3,4,5,3,4,21,187,75,1,0,2,5,0,2,1,2
"151",5,1,5,5,5,5,5,5,1,5,3,5,26,183,78,0,0,2,5,1,2,2,2
"152",4,2,4,5,5,1,1,4,5,2,1,2,17,163,61,2,1,2,5,1,2,1,1
"153",5,3,4,5,5,4,3,4,4,5,3,4,26,169,70,2,0,2,4,0,2,2,1
"154",3,3,3,3,2,2,2,5,5,4,3,3,20,160,50,1,1,2,4,0,2,1,1
"155",4,4,4,4,2,4,5,4,5,5,2,4,22,182,75,1,0,2,5,0,2,1,2
"156",4,5,5,5,1,5,1,1,1,4,1,3,21,175,60,0,0,2,5,1,2,1,1
"157",4,2,3,4,2,2,3,3,3,3,3,3,23,180,80,0,0,2,5,1,2,2,2
"158",5,1,4,5,4,3,1,5,5,4,2,4,19,158,47,0,1,2,5,1,2,2,1
"159",5,3,3,5,2,3,1,3,3,3,2,1,21,174,85,0,1,2,1,1,2,2,2
"160",5,1,2,5,5,3,3,5,5,3,2,3,19,167,55,2,1,2,5,0,2,1,1
"161",4,1,2,5,5,2,2,4,1,5,2,2,29,169,65,2,1,2,4,0,2,1,1
"162",4,2,4,4,1,2,2,2,2,2,1,3,22,183,80,1,1,2,1,0,2,1,2
"163",2,2,2,2,2,2,5,5,5,5,3,3,19,170,55,2,1,1,1,0,1,2,1
"164",5,5,5,4,4,4,5,3,3,4,5,4,17,166,54,1,1,2,5,0,2,1,1
"165",4,3,5,4,4,3,3,4,4,4,2,2,16,158,48,1,1,1,5,0,2,1,1
"166",4,1,2,4,5,1,1,5,5,4,1,1,29,160,67,2,1,2,4,0,1,2,1
"167",5,3,3,5,4,3,2,5,5,4,1,2,18,158,65,2,1,2,5,0,2,1,1
"168",5,3,4,5,5,4,3,3,4,5,1,4,26,169,70,2,0,2,4,0,2,2,1
"169",5,3,5,4,2,4,4,3,3,2,2,3,19,183,78,1,0,2,5,0,2,2,2
"170",4,5,5,5,4,3,3,3,2,3,2,4,19,185,70,1,0,2,5,1,2,2,2
"171",5,1,2,5,5,4,3,5,5,4,3,3,20,169,64,0,1,2,5,1,2,1,1
"172",3,5,3,3,2,3,5,5,5,3,2,3,20,186,88,1,0,2,5,0,1,2,2
"173",4,1,4,5,2,3,3,3,3,4,2,4,21,186,89,1,0,2,5,0,1,2,2
"174",5,4,4,5,5,5,5,4,4,5,4,3,21,169,55,2,0,2,5,0,2,1,1
"175",5,5,3,5,2,5,5,4,4,2,3,5,15,181,63,0,0,2,5,1,2,1,1
"176",5,3,3,5,5,3,3,5,5,2,2,4,19,163,50,1,1,2,1,0,2,1,1
"177",5,1,2,4,2,5,1,4,5,4,2,3,24,169,51,1,1,2,1,0,2,2,1
"178",5,1,1,4,4,3,3,5,4,5,2,1,19,160,53,1,1,2,5,1,2,1,1
"179",5,5,4,4,1,4,4,2,2,4,4,5,25,184,85,3,0,1,1,0,1,2,2
"180",5,5,5,5,5,5,5,5,5,5,1,4,20,170,62,1,1,2,1,0,2,2,1
"181",3,3,4,4,2,3,5,5,3,4,1,3,19,170,60,2,1,2,5,0,1,2,1
"182",5,5,5,5,5,5,5,5,5,5,5,5,23,184,82,2,0,2,5,0,1,2,2
"183",5,2,5,5,5,3,3,5,1,3,2,5,21,176,55,1,1,2,5,0,1,2,1
"184",5,5,5,5,3,5,5,5,5,5,3,5,20,170,62,1,0,2,5,0,2,1,1
"185",5,1,3,5,4,3,3,5,5,4,2,5,20,168,69,1,1,2,5,0,1,2,1
"186",5,1,3,5,2,3,2,4,4,5,3,4,18,173,55,3,1,2,5,0,2,1,1
"187",4,5,1,5,3,1,5,1,1,3,4,5,27,180,80,2,0,2,5,0,2,1,2
"188",4,4,2,3,1,1,4,1,1,3,1,2,17,163,68,0,1,2,5,1,2,1,1
"189",5,1,3,5,5,3,2,5,5,4,2,4,19,178,60,1,1,2,5,0,1,2,1
"190",5,3,2,5,3,5,5,3,4,5,1,5,18,182,70,2,0,2,5,0,1,2,2
"191",5,5,5,5,1,3,5,3,3,5,3,5,26,192,90,1,0,2,5,0,2,1,2
"192",5,3,3,5,3,2,3,4,5,4,3,4,18,200,90,2,0,2,5,0,1,2,2
"193",5,4,5,5,3,4,3,4,5,4,3,2,30,178,71,2,0,2,4,0,2,1,2
"194",5,1,3,5,5,3,3,5,5,3,3,3,24,153,42,1,1,2,5,0,2,2,1
"195",5,1,2,5,3,2,2,4,5,4,1,4,20,168,51,0,1,2,5,1,1,2,1
"196",5,4,3,4,3,4,5,2,4,3,1,5,20,172,56,1,0,2,5,0,1,2,1
"197",5,3,3,4,2,5,5,2,4,5,3,5,20,176,64,1,0,2,5,0,1,2,1
"198",5,2,4,3,3,2,4,4,5,5,2,4,19,168,68,3,1,2,5,0,1,2,1
"199",5,1,2,3,2,5,5,3,3,4,3,3,20,157,48,2,1,2,5,0,1,2,1
"200",3,1,3,4,1,2,2,3,2,3,3,5,21,173,73,5,0,2,5,0,1,2,2
"201",4,1,3,4,4,4,4,4,4,4,2,4,19,173,63,1,1,2,5,0,1,2,1
"202",5,4,4,5,5,2,1,4,3,3,1,3,19,171,55,0,1,2,5,1,1,2,1
"203",5,4,5,5,5,5,5,2,3,3,2,5,19,168,60,2,1,2,5,0,1,1,1
"204",5,5,5,5,5,4,3,4,4,3,2,3,18,165,48,1,1,2,5,0,2,1,1
"205",3,1,1,5,5,2,2,5,5,4,2,3,18,168,65,1,1,2,1,0,1,2,1
"206",5,1,2,5,3,1,4,5,5,3,2,3,16,174,64,0,1,2,5,1,2,1,1
"207",5,2,3,5,3,3,5,5,5,5,2,5,19,171,57,0,1,2,5,1,2,1,1
"208",4,3,2,5,5,2,3,5,5,4,2,3,18,173,64,3,1,2,5,0,2,2,1
"209",5,5,4,5,5,3,4,5,5,3,2,3,19,157,48,2,1,2,5,0,2,2,1
"210",5,1,3,5,3,3,3,4,4,2,1,4,21,173,59,1,1,1,5,1,2,1,1
"211",3,3,3,5,3,3,4,5,5,4,3,4,21,180,80,1,0,2,1,0,2,1,2
"212",5,3,3,4,4,4,5,4,3,3,2,4,18,180,60,1,1,2,5,1,2,1,1
"213",5,1,5,5,4,4,2,3,2,2,1,3,21,175,63,0,1,2,5,1,2,1,1
"214",5,5,5,5,4,2,1,5,5,2,1,4,20,160,46,0,1,2,5,1,2,1,1
"215",5,5,4,5,3,2,1,5,5,3,2,5,19,172,60,1,1,2,5,0,2,1,1
"216",5,4,4,5,4,5,5,5,2,5,5,5,27,180,80,0,0,2,4,1,2,1,2
"217",5,1,1,5,5,2,3,4,5,5,1,2,22,165,68,2,1,2,1,1,2,1,1
"218",5,4,4,5,5,4,3,5,5,3,2,5,19,160,55,2,1,2,5,0,2,1,1
"219",5,4,4,5,3,5,3,5,5,5,2,5,19,165,55,3,1,2,5,0,1,2,1
"220",5,3,5,5,5,4,2,2,2,2,2,3,20,176,63,0,1,2,5,1,2,1,1
"221",5,5,4,5,5,5,3,5,5,5,2,2,19,164,60,2,1,2,5,0,1,2,1
"222",5,2,2,5,5,4,4,5,5,4,3,4,20,155,44,0,1,2,5,1,1,2,1
"223",3,5,5,5,5,3,1,2,1,2,1,2,17,167,57,2,1,1,5,1,2,1,1
"224",5,1,2,5,5,1,5,5,2,3,1,4,23,171,59,2,1,2,5,0,1,2,1
"225",5,1,3,4,4,2,1,5,5,5,4,2,20,158,50,2,1,2,5,0,2,1,1
"226",3,2,2,5,5,2,2,5,5,2,2,2,20,170,60,1,1,2,5,0,2,1,1
"227",5,3,4,5,3,5,5,4,5,5,4,5,19,182,65,2,0,2,5,0,2,1,2
"228",5,4,5,5,2,5,3,5,5,3,1,2,20,182,63,1,1,2,5,1,2,1,1
"229",3,1,1,5,1,1,4,3,1,5,1,1,19,175,72,4,0,2,5,0,1,2,2
"230",3,3,3,3,3,3,3,3,3,3,3,3,19,197,96,0,0,2,5,1,2,1,2
"231",5,5,4,5,5,4,1,4,5,3,1,4,18,170,50,1,1,2,5,0,2,2,1
"232",4,1,2,3,3,3,3,4,4,5,3,3,19,165,55,1,1,2,5,0,2,1,1
"233",5,4,2,5,4,3,2,4,5,1,1,3,15,176,53,3,1,2,5,0,2,1,1
"234",5,3,3,5,5,4,2,2,2,2,1,3,15,170,49,1,1,2,5,0,2,1,1
"235",5,2,3,5,5,3,3,4,4,3,2,2,19,168,72,1,1,2,5,0,2,1,1
"236",4,2,3,5,4,2,2,5,5,4,4,4,21,163,49,2,1,1,4,0,2,2,1
"237",4,1,1,5,5,4,2,5,5,5,2,3,19,152,47,2,1,2,1,0,2,1,1
"238",5,4,4,4,3,3,4,4,4,4,2,3,17,158,57,1,1,2,5,0,1,2,1
"239",5,3,3,5,4,2,2,5,5,5,2,5,23,165,70,1,1,2,1,0,2,1,1
"240",5,4,3,4,2,1,5,3,3,4,2,5,24,177,80,0,0,2,5,1,1,2,2
"241",5,3,2,5,2,2,4,3,5,5,1,2,19,170,55,1,1,2,5,0,2,1,1
"242",5,3,5,4,5,4,5,5,5,4,3,3,19,178,67,2,1,2,1,0,2,1,2
"243",4,3,3,5,4,1,2,3,4,5,2,2,22,170,60,0,1,2,5,1,2,2,1
"244",5,4,3,5,4,5,3,5,5,4,3,4,20,170,70,1,1,2,1,0,2,1,1
"245",5,5,4,5,4,5,5,3,3,4,4,4,19,188,76,0,0,2,5,1,2,1,2
"246",5,4,4,5,2,5,3,5,5,5,3,5,19,180,85,2,0,2,5,0,1,2,2
"247",4,3,3,5,5,3,2,5,5,5,1,1,20,161,53,1,1,2,1,0,2,1,1
"248",4,1,1,5,5,3,1,3,4,3,2,4,18,178,69,1,1,2,5,0,2,2,2
"249",4,1,4,5,2,3,3,4,1,5,5,5,19,178,74,1,0,2,5,0,2,1,2
"250",3,3,4,5,2,1,1,3,3,1,1,2,20,165,50,2,1,2,5,0,2,1,1
"251",5,4,4,4,2,5,5,5,5,4,2,5,20,178,68,2,0,2,5,0,2,1,2
"252",5,3,4,5,4,2,2,3,3,2,1,3,20,168,55,2,1,2,5,0,2,1,1
"253",5,4,4,5,3,3,4,4,4,4,1,4,27,168,55,1,1,2,4,0,2,1,1
"254",5,3,3,4,4,2,3,4,4,3,2,2,19,180,57,1,1,2,5,1,2,2,1
"255",5,2,4,5,5,3,3,5,5,4,1,2,20,173,58,1,1,2,5,0,2,2,1
"256",4,2,4,4,4,4,3,4,4,3,2,4,20,193,85,1,0,2,5,0,1,2,2
"257",5,2,4,5,5,3,2,5,5,3,2,5,21,184,120,1,1,2,5,0,2,2,2
"258",5,1,1,5,4,5,4,5,5,4,3,1,16,167,62,1,1,2,5,1,1,2,1
"259",5,3,5,3,4,2,5,5,4,4,4,2,18,167,57,1,1,2,5,0,1,2,1
"260",5,5,5,5,1,4,4,1,1,3,4,5,23,190,90,1,0,2,1,0,2,1,2
"261",5,2,2,4,3,4,2,2,3,2,2,3,19,187,83,0,0,2,5,1,1,2,2
"262",5,2,2,5,4,2,5,5,5,4,2,3,19,163,51,0,1,2,5,0,2,2,1
"263",5,5,5,5,3,1,3,5,5,5,1,5,22,173,52,1,1,2,1,0,2,1,1
"264",3,2,4,1,3,5,4,4,5,5,1,4,18,165,65,1,1,2,5,0,2,1,1
"265",5,1,3,4,2,4,5,5,2,5,4,5,20,190,92,1,0,2,1,0,2,2,2
"266",5,3,4,5,4,1,1,5,5,3,1,1,19,178,58,1,1,2,5,0,1,2,1
"267",5,1,3,5,4,1,3,3,3,3,4,5,25,167,76,1,1,2,4,0,2,1,2
"268",5,1,3,5,4,3,1,4,4,2,1,4,18,160,53,2,1,2,5,1,2,1,1
"269",5,1,1,5,5,2,4,5,4,4,1,4,20,169,64,0,1,2,1,1,2,2,1
"270",5,3,1,5,5,2,1,5,5,2,1,1,15,174,63,1,1,2,5,0,2,2,1
"271",5,1,1,5,3,4,1,5,5,5,1,1,19,176,68,2,1,2,5,0,2,1,1
"272",4,5,5,3,2,3,2,3,3,2,1,3,16,158,50,0,1,2,5,1,1,2,1
"273",3,3,4,3,3,3,2,2,4,3,1,5,19,180,78,1,0,2,1,0,2,2,2
"274",5,4,4,5,4,5,3,4,5,5,3,5,18,167,57,0,1,2,1,1,2,1,1
"275",5,4,4,4,3,4,5,2,2,3,1,3,15,170,75,1,0,2,5,0,2,2,2
"276",5,4,4,5,4,5,3,4,3,3,1,3,20,170,55,1,1,2,5,0,2,2,1
"277",5,4,4,5,5,5,5,5,5,5,4,5,20,180,75,2,0,2,5,0,1,2,2
"278",4,1,3,4,1,2,5,4,3,3,2,4,20,184,68,1,0,1,5,0,2,1,2
"279",4,2,3,5,4,3,2,3,5,3,1,3,20,170,60,1,1,2,5,1,2,2,1
"280",5,5,5,5,1,5,5,3,3,3,1,5,19,180,65,2,0,2,5,0,2,2,1
